k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
3,500,0,0,1,"(3, 2)",[1.5044441  0.83750185 1.11796085 1.0992403  1.7       ],4,"(3, 1)",[ 0.46942498  0.34393694  0.40287698 -0.58797631  1.40815482],4,"(3, 3)",[1.57309119 0.73765023 0.92387084 1.50720256 2.        ],4,"(2, 2)",[0.17302008 0.19344547 1.3636428  0.24343701 0.25071764],2,"(4, 2)",[0.3075875  1.32573029 0.20463082 0.26313073 0.32821349],1
3,500,0,0,2,"(3, 2)",[1.41138466 1.03781489 1.30704759 1.29781483 1.7       ],4,"(3, 1)",[ 0.68425008  0.32128874  0.38673825 -0.92612848  1.40131465],4,"(3, 3)",[1.6923561  1.24521194 1.23543341 1.40241046 2.        ],4,"(2, 2)",[0.44516085 0.20183624 1.41195792 0.21291259 0.60528756],2,"(4, 2)",[0.7922156  1.41464427 0.35535313 0.28889402 0.81479193],1
3,500,0,0,3,"(3, 2)",[1.40144441 0.86067122 1.01410023 1.08554981 1.7       ],4,"(3, 1)",[ 0.56699003  0.33275851  0.34975187 -0.76978764  1.40204817],4,"(3, 3)",[1.6897802  1.26770565 1.0525473  1.39862934 2.        ],4,"(2, 2)",[0.24381246 0.18340237 1.32802289 0.17656735 0.41849155],2,"(4, 2)",[0.51989819 1.3801734  0.28315029 0.1767018  0.59126898],1
3,500,0,0,original qtable,"(3, 2)",[0.21633342 0.16798705 0.19676804 0.1876116  0.23129989],4,"(3, 1)",[ 0.37644454  0.34393694  0.36554233 -0.5109915   0.42506769],4,"(3, 3)",[0.19047619 0.2022409  0.2022409  0.18095238 0.22408964],4,"(2, 2)",[0.17302008 0.16687462 0.2260764  0.18135528 0.25267362],4,"(4, 2)",[0.1952181  0.21004764 0.18327332 0.1767018  0.23475913],4
3,500,0,1,1,"(2, 3)",[1.52953147 1.20439552 1.7        0.93358129 0.74963344],2,"(2, 2)",[0.27650035 0.24103322 0.49282325 0.22810138 1.42371832],4,"(2, 4)",[0.34784883 0.18030709 0.222494   1.1427279  0.19538604],3,"(1, 3)",[ 0.38996875 -0.35648027  1.47256716  0.30447984  0.2857209 ],2,"(3, 3)",[1.47009414 1.44304348 2.         1.34765378 0.93501205],2
3,500,0,1,2,"(2, 3)",[1.41138458 1.29762144 1.7        1.07738707 1.32680981],2,"(2, 2)",[0.35693434 0.2619868  0.51511101 0.21317807 1.40016128],4,"(2, 4)",[0.59794349 0.22742838 0.50554504 1.41179238 0.37195208],3,"(1, 3)",[ 0.29671389 -0.44075381  1.4052583   0.28713075  0.2808254 ],2,"(3, 3)",[1.68681593 1.40181128 2.         1.36244828 1.34593593],2
3,500,0,1,3,"(2, 3)",[1.39639948 1.06114961 1.7        1.00275594 1.09052063],2,"(2, 2)",[0.3221037  0.23609582 0.32077536 0.19982589 1.37284108],4,"(2, 4)",[0.30390603 0.24367868 0.61198519 1.40450096 0.23643968],3,"(1, 3)",[ 0.46939552 -0.43887122  1.40091428  0.30028139  0.29931611],2,"(3, 3)",[1.65323601 1.3949598  2.         1.24270368 1.23220718],2
3,500,0,1,original qtable,"(2, 3)",[0.21892887 0.18911258 0.23407489 0.16605117 0.19183249],2,"(2, 2)",[0.18165003 0.18663278 0.2316271  0.16589179 0.23419829],4,"(2, 4)",[0.19305354 0.18030709 0.2219817  0.22674964 0.17790802],3,"(1, 3)",[ 0.28774357 -0.13504933  0.32470134  0.25779521  0.26480921],2,"(3, 3)",[0.19894675 0.18899941 0.234055   0.18899941 0.18899941],2
3,500,1,0,1,"(3, 2)",[1.58241723 1.12066532 1.33845429 1.34465767 1.7       ],4,"(3, 1)",[ 0.70469293  0.41945263  0.43879093 -0.67956048  1.58705828],4,"(3, 3)",[1.66774148 1.00636208 1.20432143 1.60189435 2.        ],4,"(2, 2)",[0.2734761  0.31132432 1.58104537 0.28436159 0.31973979],2,"(4, 2)",[0.41817185 1.57592395 0.20463082 0.4532354  0.41562877],1
3,500,1,0,2,"(3, 2)",[1.4155691  1.14235307 1.34345093 1.34340163 1.7       ],4,"(3, 1)",[ 0.69936964  0.40085089  0.52670434 -0.88843698  1.41495161],4,"(3, 3)",[1.69952319 0.87572588 0.91861531 1.4152806  2.        ],4,"(2, 2)",[0.7657429  0.35338564 1.41497889 0.31289957 0.56986032],2,"(4, 2)",[0.49979601 1.41497833 0.32153101 0.6067981  0.64286772],1
