k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
5,200,0,0,1,"(6, 3)",1,[41.23899988 42.81193539 40.19051963 41.07694691 41.07694691],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[39.64792844 40.42296298 38.10101822 40.5594806  37.5737844 ],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
5,200,0,0,2,"(6, 3)",1,[41.50699526 42.97583311 40.34965079 41.32693641 41.32693641],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[39.97387881 40.55358835 38.2210813  40.75197384 37.65877173],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
5,200,0,0,3,"(6, 3)",1,[41.77513514 43.25656458 40.6052374  41.57506975 41.57506975],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[40.31659742 40.78736286 38.33135451 40.93622244 37.82198552],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
5,200,0,0,4,"(6, 3)",1,[42.03231055 43.64269093 40.85759484 41.81001568 41.81001568],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[40.67742526 41.12541773 38.63787043 41.10018534 38.07190489],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
5,200,0,0,5,"(6, 3)",1,[42.37741302 44.1330404  41.20769629 42.0193076  42.0193076 ],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[41.04322748 41.45811078 39.04680063 41.34171834 38.41795003],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
5,200,0,1,1,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
5,200,0,1,2,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
5,200,0,1,3,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
5,200,0,1,4,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
5,200,0,1,5,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
5,200,0,2,1,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
5,200,0,2,2,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
5,200,0,2,3,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
5,200,0,2,4,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
5,200,0,2,5,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
5,200,0,3,1,"(5, 2)",1,[35.85909347 38.63994198 36.59895267 35.64335059 36.93213574],"(5, 1)","[0, 0, 0, 0, 0]","(5, 3)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(6, 2)",[36.31847686 37.22477409 34.42994316 35.11585309 36.70279287]
5,200,0,3,2,"(5, 2)",1,[36.3150316  38.69015815 36.80376405 35.70826506 37.13819641],"(5, 1)","[0, 0, 0, 0, 0]","(5, 3)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(6, 2)",[36.62957323 37.38801008 34.71668597 35.30687847 37.03006854]
5,200,0,3,3,"(5, 2)",1,[36.80573551 38.84073307 37.01543823 35.87324579 37.47852227],"(5, 1)","[0, 0, 0, 0, 0]","(5, 3)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(6, 2)",[36.9577686  37.55348937 34.9957306  35.49126821 37.35252599]
5,200,0,3,4,"(5, 2)",1,[37.11390311 38.98129171 37.23579502 36.02721696 37.94509944],"(5, 1)","[0, 0, 0, 0, 0]","(5, 3)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(6, 2)",[37.28113137 37.94474073 35.37713403 35.76669435 37.66942289]
5,200,0,3,5,"(5, 2)",1,[37.54186033 39.22346121 37.45507356 36.28126361 38.54059893],"(5, 1)","[0, 0, 0, 0, 0]","(5, 3)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(6, 2)",[37.58550568 38.46501324 35.76095855 36.03195709 38.09104456]
5,200,0,4,1,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
5,200,0,4,2,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
5,200,0,4,3,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
5,200,0,4,4,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
5,200,0,4,5,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
5,200,0,5,1,"(4, 1)",2,[41.76414943 42.03895838 43.82304299 -7.5851039  41.20012613],"(4, 0)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(3, 1)",[41.56799454 40.13773113 42.66615564 -8.19164376 39.52447837],"(5, 1)","[0, 0, 0, 0, 0]"
5,200,0,5,2,"(4, 1)",2,[42.32591612 42.29792606 43.90342023 -7.29410281 41.29259043],"(4, 0)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(3, 1)",[41.88226996 40.44623754 42.88370079 -7.93717544 39.71948399],"(5, 1)","[0, 0, 0, 0, 0]"
5,200,0,5,3,"(4, 1)",2,[42.92884779 42.56441438 44.10476966 -6.98238964 41.47541011],"(4, 0)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(3, 1)",[42.20819375 40.74638639 43.10416408 -7.6977149  39.92252016],"(5, 1)","[0, 0, 0, 0, 0]"
5,200,0,5,4,"(4, 1)",2,[43.24295236 42.83802635 44.31779648 -6.65830917 41.63471096],"(4, 0)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(3, 1)",[42.53511963 41.0370348  43.43774824 -7.47514718 40.24870183],"(5, 1)","[0, 0, 0, 0, 0]"
5,200,0,5,5,"(4, 1)",2,[43.55649873 43.10658095 44.653721   -6.31921857 41.87786352],"(4, 0)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(3, 1)",[42.8629894  41.31691185 43.77293861 -7.27156785 40.59244857],"(5, 1)","[0, 0, 0, 0, 0]"
5,200,1,0,1,"(6, 3)",1,[37.96369268 40.10553548 37.49147052 39.36548721 38.60884078],"(6, 2)","[0, 0, 0, 0, 0]","(6, 4)",[37.69050734 37.72947551 35.66437575 38.55320685 35.70995582],"(5, 3)","[0, 0, 0, 0, 0]","(7, 3)","[0, 0, 0, 0, 0]"
