k,L,execution_time,total_steps,total_agents_updated,total_action_changes,video_path
1,20,8.589935541152954,40,118,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k1_L20.mp4
1,50,5.766446590423584,40,118,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k1_L50.mp4
1,100,6.147484540939331,40,118,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k1_L100.mp4
1,200,6.728614568710327,40,118,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k1_L200.mp4
1,500,7.940180540084839,40,115,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k1_L500.mp4
2,20,6.5497519969940186,40,95,4,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k2_L20.mp4
2,50,7.583599328994751,40,123,1,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k2_L50.mp4
2,100,7.472790241241455,40,123,1,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k2_L100.mp4
2,200,7.949767112731934,40,124,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k2_L200.mp4
2,500,8.99024224281311,40,122,0,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k2_L500.mp4
3,20,8.890169620513916,40,124,12,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k3_L20.mp4
3,50,7.712910175323486,40,97,4,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k3_L50.mp4
3,100,8.532739162445068,40,127,5,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k3_L100.mp4
3,200,9.547002077102661,40,125,2,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k3_L200.mp4
3,500,10.27973222732544,40,123,2,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k3_L500.mp4
4,20,10.23763108253479,40,135,9,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k4_L20.mp4
4,50,10.728912353515625,40,124,4,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k4_L50.mp4
4,100,10.273779153823853,40,130,3,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k4_L100.mp4
4,200,10.480912208557129,40,126,11,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k4_L200.mp4
4,500,11.547674417495728,40,124,24,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k4_L500.mp4
5,20,11.580132246017456,40,133,3,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k5_L20.mp4
5,50,12.678369522094727,40,132,9,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k5_L50.mp4
5,100,13.577712774276733,40,161,2,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k5_L100.mp4
5,200,12.424153566360474,40,126,4,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k5_L200.mp4
5,500,13.548184156417847,40,124,3,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k5_L500.mp4
6,20,13.174336671829224,40,124,6,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k6_L20.mp4
6,50,15.459749221801758,40,130,11,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k6_L50.mp4
6,100,11.474310159683228,40,96,7,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k6_L100.mp4
6,200,13.693552017211914,40,125,3,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k6_L200.mp4
6,500,15.158392667770386,40,124,4,/home/yacine/Desktop/Projet_MARL/Videos/7x7_5ag_k6_L500.mp4
