num_agents,position_set,k,L,trial,steps,agents_at_goal,success_rate,complete_success
2,0,1,20,0,6,2,1.0,True
2,0,1,20,1,6,2,1.0,True
2,0,1,20,2,6,2,1.0,True
2,0,1,20,3,6,2,1.0,True
2,0,1,20,4,6,2,1.0,True
2,0,1,20,5,6,2,1.0,True
2,0,1,20,6,6,2,1.0,True
2,0,1,20,7,6,2,1.0,True
2,0,1,20,8,6,2,1.0,True
2,0,1,20,9,6,2,1.0,True
2,0,1,50,0,6,2,1.0,True
2,0,1,50,1,6,2,1.0,True
2,0,1,50,2,6,2,1.0,True
2,0,1,50,3,6,2,1.0,True
2,0,1,50,4,6,2,1.0,True
2,0,1,50,5,6,2,1.0,True
2,0,1,50,6,6,2,1.0,True
2,0,1,50,7,6,2,1.0,True
2,0,1,50,8,6,2,1.0,True
2,0,1,50,9,6,2,1.0,True
2,0,1,100,0,6,2,1.0,True
2,0,1,100,1,6,2,1.0,True
2,0,1,100,2,6,2,1.0,True
2,0,1,100,3,6,2,1.0,True
2,0,1,100,4,6,2,1.0,True
2,0,1,100,5,6,2,1.0,True
2,0,1,100,6,6,2,1.0,True
2,0,1,100,7,6,2,1.0,True
2,0,1,100,8,6,2,1.0,True
2,0,1,100,9,6,2,1.0,True
2,0,1,200,0,6,2,1.0,True
2,0,1,200,1,6,2,1.0,True
2,0,1,200,2,6,2,1.0,True
2,0,1,200,3,6,2,1.0,True
2,0,1,200,4,6,2,1.0,True
2,0,1,200,5,6,2,1.0,True
2,0,1,200,6,6,2,1.0,True
2,0,1,200,7,6,2,1.0,True
2,0,1,200,8,6,2,1.0,True
2,0,1,200,9,6,2,1.0,True
2,1,1,20,0,5,2,1.0,True
2,1,1,20,1,5,2,1.0,True
2,1,1,20,2,5,2,1.0,True
2,1,1,20,3,5,2,1.0,True
2,1,1,20,4,5,2,1.0,True
2,1,1,20,5,5,2,1.0,True
2,1,1,20,6,5,2,1.0,True
2,1,1,20,7,5,2,1.0,True
2,1,1,20,8,5,2,1.0,True
2,1,1,20,9,5,2,1.0,True
2,1,1,50,0,5,2,1.0,True
2,1,1,50,1,5,2,1.0,True
2,1,1,50,2,5,2,1.0,True
2,1,1,50,3,5,2,1.0,True
2,1,1,50,4,5,2,1.0,True
2,1,1,50,5,5,2,1.0,True
2,1,1,50,6,5,2,1.0,True
2,1,1,50,7,5,2,1.0,True
2,1,1,50,8,5,2,1.0,True
2,1,1,50,9,5,2,1.0,True
2,1,1,100,0,5,2,1.0,True
2,1,1,100,1,5,2,1.0,True
2,1,1,100,2,5,2,1.0,True
2,1,1,100,3,5,2,1.0,True
2,1,1,100,4,5,2,1.0,True
2,1,1,100,5,5,2,1.0,True
2,1,1,100,6,5,2,1.0,True
2,1,1,100,7,5,2,1.0,True
2,1,1,100,8,5,2,1.0,True
2,1,1,100,9,5,2,1.0,True
2,1,1,200,0,5,2,1.0,True
2,1,1,200,1,5,2,1.0,True
2,1,1,200,2,5,2,1.0,True
2,1,1,200,3,5,2,1.0,True
2,1,1,200,4,5,2,1.0,True
2,1,1,200,5,5,2,1.0,True
2,1,1,200,6,5,2,1.0,True
2,1,1,200,7,5,2,1.0,True
2,1,1,200,8,5,2,1.0,True
2,1,1,200,9,5,2,1.0,True
2,2,1,20,0,6,2,1.0,True
2,2,1,20,1,6,2,1.0,True
2,2,1,20,2,6,2,1.0,True
2,2,1,20,3,6,2,1.0,True
2,2,1,20,4,6,2,1.0,True
2,2,1,20,5,6,2,1.0,True
2,2,1,20,6,6,2,1.0,True
2,2,1,20,7,6,2,1.0,True
2,2,1,20,8,6,2,1.0,True
2,2,1,20,9,6,2,1.0,True
2,2,1,50,0,6,2,1.0,True
2,2,1,50,1,6,2,1.0,True
2,2,1,50,2,6,2,1.0,True
2,2,1,50,3,6,2,1.0,True
2,2,1,50,4,6,2,1.0,True
2,2,1,50,5,6,2,1.0,True
2,2,1,50,6,6,2,1.0,True
2,2,1,50,7,6,2,1.0,True
2,2,1,50,8,6,2,1.0,True
2,2,1,50,9,6,2,1.0,True
2,2,1,100,0,6,2,1.0,True
2,2,1,100,1,6,2,1.0,True
2,2,1,100,2,6,2,1.0,True
2,2,1,100,3,6,2,1.0,True
2,2,1,100,4,6,2,1.0,True
2,2,1,100,5,6,2,1.0,True
2,2,1,100,6,6,2,1.0,True
2,2,1,100,7,6,2,1.0,True
2,2,1,100,8,6,2,1.0,True
2,2,1,100,9,6,2,1.0,True
2,2,1,200,0,6,2,1.0,True
2,2,1,200,1,6,2,1.0,True
2,2,1,200,2,6,2,1.0,True
2,2,1,200,3,6,2,1.0,True
2,2,1,200,4,6,2,1.0,True
2,2,1,200,5,6,2,1.0,True
2,2,1,200,6,6,2,1.0,True
2,2,1,200,7,6,2,1.0,True
2,2,1,200,8,6,2,1.0,True
2,2,1,200,9,6,2,1.0,True
2,3,1,20,0,40,1,0.5,False
2,3,1,20,1,40,1,0.5,False
2,3,1,20,2,40,1,0.5,False
2,3,1,20,3,40,1,0.5,False
2,3,1,20,4,40,1,0.5,False
2,3,1,20,5,40,1,0.5,False
2,3,1,20,6,40,1,0.5,False
2,3,1,20,7,40,1,0.5,False
2,3,1,20,8,40,1,0.5,False
2,3,1,20,9,40,1,0.5,False
2,3,1,50,0,40,1,0.5,False
2,3,1,50,1,40,1,0.5,False
2,3,1,50,2,40,1,0.5,False
2,3,1,50,3,40,1,0.5,False
2,3,1,50,4,40,1,0.5,False
2,3,1,50,5,40,1,0.5,False
2,3,1,50,6,40,1,0.5,False
2,3,1,50,7,40,1,0.5,False
2,3,1,50,8,40,1,0.5,False
2,3,1,50,9,40,1,0.5,False
2,3,1,100,0,40,1,0.5,False
2,3,1,100,1,40,1,0.5,False
2,3,1,100,2,40,1,0.5,False
2,3,1,100,3,40,1,0.5,False
2,3,1,100,4,40,1,0.5,False
2,3,1,100,5,40,1,0.5,False
2,3,1,100,6,40,1,0.5,False
2,3,1,100,7,40,1,0.5,False
2,3,1,100,8,40,1,0.5,False
2,3,1,100,9,40,1,0.5,False
2,3,1,200,0,40,1,0.5,False
2,3,1,200,1,40,1,0.5,False
2,3,1,200,2,40,1,0.5,False
2,3,1,200,3,40,1,0.5,False
2,3,1,200,4,40,1,0.5,False
2,3,1,200,5,40,1,0.5,False
2,3,1,200,6,40,1,0.5,False
2,3,1,200,7,40,1,0.5,False
2,3,1,200,8,40,1,0.5,False
2,3,1,200,9,40,1,0.5,False
2,4,1,20,0,8,2,1.0,True
2,4,1,20,1,8,2,1.0,True
2,4,1,20,2,8,2,1.0,True
2,4,1,20,3,8,2,1.0,True
2,4,1,20,4,8,2,1.0,True
2,4,1,20,5,8,2,1.0,True
2,4,1,20,6,8,2,1.0,True
2,4,1,20,7,8,2,1.0,True
2,4,1,20,8,8,2,1.0,True
2,4,1,20,9,8,2,1.0,True
2,4,1,50,0,8,2,1.0,True
2,4,1,50,1,8,2,1.0,True
2,4,1,50,2,8,2,1.0,True
2,4,1,50,3,8,2,1.0,True
2,4,1,50,4,8,2,1.0,True
2,4,1,50,5,8,2,1.0,True
2,4,1,50,6,8,2,1.0,True
2,4,1,50,7,8,2,1.0,True
2,4,1,50,8,8,2,1.0,True
2,4,1,50,9,8,2,1.0,True
2,4,1,100,0,8,2,1.0,True
2,4,1,100,1,8,2,1.0,True
2,4,1,100,2,8,2,1.0,True
2,4,1,100,3,8,2,1.0,True
2,4,1,100,4,8,2,1.0,True
2,4,1,100,5,8,2,1.0,True
2,4,1,100,6,8,2,1.0,True
2,4,1,100,7,8,2,1.0,True
2,4,1,100,8,8,2,1.0,True
2,4,1,100,9,8,2,1.0,True
2,4,1,200,0,8,2,1.0,True
2,4,1,200,1,8,2,1.0,True
2,4,1,200,2,8,2,1.0,True
2,4,1,200,3,8,2,1.0,True
2,4,1,200,4,8,2,1.0,True
2,4,1,200,5,8,2,1.0,True
2,4,1,200,6,8,2,1.0,True
2,4,1,200,7,8,2,1.0,True
2,4,1,200,8,8,2,1.0,True
2,4,1,200,9,8,2,1.0,True
2,5,1,20,0,4,2,1.0,True
2,5,1,20,1,4,2,1.0,True
2,5,1,20,2,4,2,1.0,True
2,5,1,20,3,4,2,1.0,True
2,5,1,20,4,4,2,1.0,True
2,5,1,20,5,4,2,1.0,True
2,5,1,20,6,4,2,1.0,True
2,5,1,20,7,4,2,1.0,True
2,5,1,20,8,4,2,1.0,True
2,5,1,20,9,4,2,1.0,True
2,5,1,50,0,4,2,1.0,True
2,5,1,50,1,4,2,1.0,True
2,5,1,50,2,4,2,1.0,True
2,5,1,50,3,4,2,1.0,True
2,5,1,50,4,4,2,1.0,True
2,5,1,50,5,4,2,1.0,True
2,5,1,50,6,4,2,1.0,True
2,5,1,50,7,4,2,1.0,True
2,5,1,50,8,4,2,1.0,True
2,5,1,50,9,4,2,1.0,True
2,5,1,100,0,4,2,1.0,True
2,5,1,100,1,4,2,1.0,True
2,5,1,100,2,4,2,1.0,True
2,5,1,100,3,4,2,1.0,True
2,5,1,100,4,4,2,1.0,True
2,5,1,100,5,4,2,1.0,True
2,5,1,100,6,4,2,1.0,True
2,5,1,100,7,4,2,1.0,True
2,5,1,100,8,4,2,1.0,True
2,5,1,100,9,4,2,1.0,True
2,5,1,200,0,4,2,1.0,True
2,5,1,200,1,4,2,1.0,True
2,5,1,200,2,4,2,1.0,True
2,5,1,200,3,4,2,1.0,True
2,5,1,200,4,4,2,1.0,True
2,5,1,200,5,4,2,1.0,True
2,5,1,200,6,4,2,1.0,True
2,5,1,200,7,4,2,1.0,True
2,5,1,200,8,4,2,1.0,True
2,5,1,200,9,4,2,1.0,True
2,6,1,20,0,3,2,1.0,True
2,6,1,20,1,3,2,1.0,True
2,6,1,20,2,3,2,1.0,True
2,6,1,20,3,3,2,1.0,True
2,6,1,20,4,3,2,1.0,True
2,6,1,20,5,3,2,1.0,True
2,6,1,20,6,3,2,1.0,True
