num_agents,position_set,k,L,trial,steps,agents_at_goal,success_rate,complete_success
2,0,2,20,0,11,2,1.0,True
2,0,2,20,1,11,2,1.0,True
2,0,2,20,2,11,2,1.0,True
2,0,2,20,3,11,2,1.0,True
2,0,2,20,4,11,2,1.0,True
2,0,2,20,5,11,2,1.0,True
2,0,2,20,6,11,2,1.0,True
2,0,2,20,7,11,2,1.0,True
2,0,2,20,8,11,2,1.0,True
2,0,2,20,9,11,2,1.0,True
2,0,2,50,0,11,2,1.0,True
2,0,2,50,1,11,2,1.0,True
2,0,2,50,2,11,2,1.0,True
2,0,2,50,3,11,2,1.0,True
2,0,2,50,4,11,2,1.0,True
2,0,2,50,5,11,2,1.0,True
2,0,2,50,6,11,2,1.0,True
2,0,2,50,7,11,2,1.0,True
2,0,2,50,8,11,2,1.0,True
2,0,2,50,9,11,2,1.0,True
2,0,2,100,0,11,2,1.0,True
2,0,2,100,1,11,2,1.0,True
2,0,2,100,2,11,2,1.0,True
2,0,2,100,3,11,2,1.0,True
2,0,2,100,4,11,2,1.0,True
2,0,2,100,5,11,2,1.0,True
2,0,2,100,6,11,2,1.0,True
2,0,2,100,7,11,2,1.0,True
2,0,2,100,8,11,2,1.0,True
2,0,2,100,9,11,2,1.0,True
2,0,2,200,0,11,2,1.0,True
2,0,2,200,1,11,2,1.0,True
2,0,2,200,2,11,2,1.0,True
2,0,2,200,3,11,2,1.0,True
2,0,2,200,4,11,2,1.0,True
2,0,2,200,5,11,2,1.0,True
2,0,2,200,6,11,2,1.0,True
2,0,2,200,7,11,2,1.0,True
2,0,2,200,8,11,2,1.0,True
2,0,2,200,9,11,2,1.0,True
2,0,3,20,0,11,2,1.0,True
2,0,3,20,1,11,2,1.0,True
2,0,3,20,2,11,2,1.0,True
2,0,3,20,3,11,2,1.0,True
2,0,3,20,4,11,2,1.0,True
2,0,3,20,5,11,2,1.0,True
2,0,3,20,6,11,2,1.0,True
2,0,3,20,7,11,2,1.0,True
2,0,3,20,8,11,2,1.0,True
2,0,3,20,9,11,2,1.0,True
2,0,3,50,0,11,2,1.0,True
2,0,3,50,1,11,2,1.0,True
2,0,3,50,2,11,2,1.0,True
2,0,3,50,3,11,2,1.0,True
2,0,3,50,4,11,2,1.0,True
2,0,3,50,5,11,2,1.0,True
2,0,3,50,6,11,2,1.0,True
2,0,3,50,7,11,2,1.0,True
2,0,3,50,8,11,2,1.0,True
2,0,3,50,9,11,2,1.0,True
2,0,3,100,0,11,2,1.0,True
2,0,3,100,1,11,2,1.0,True
2,0,3,100,2,11,2,1.0,True
2,0,3,100,3,11,2,1.0,True
2,0,3,100,4,11,2,1.0,True
2,0,3,100,5,11,2,1.0,True
2,0,3,100,6,11,2,1.0,True
2,0,3,100,7,11,2,1.0,True
2,0,3,100,8,11,2,1.0,True
2,0,3,100,9,11,2,1.0,True
2,0,3,200,0,11,2,1.0,True
2,0,3,200,1,11,2,1.0,True
2,0,3,200,2,11,2,1.0,True
2,0,3,200,3,11,2,1.0,True
2,0,3,200,4,11,2,1.0,True
2,0,3,200,5,11,2,1.0,True
2,0,3,200,6,11,2,1.0,True
2,0,3,200,7,11,2,1.0,True
2,0,3,200,8,11,2,1.0,True
