k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,0,0,0,"(7, 4)",[41.45196838 38.99994671 48.25221605 48.37348529 39.0778795 ],3,"(7, 3)",[42.07214912 41.00601569 41.01959435 41.03466828 43.66895449],4,"(7, 5)",[44.95620295 46.14702537 43.62196826 43.74009108 43.65317475],1,"(6, 4)",[44.64454783 43.38949448 43.58352884 40.48886362 45.71629025],4,"(8, 4)",[40.51788733 42.49495905 -8.36465549 13.50331437 43.13418269],4
2,15,0,0,1,"(7, 4)",[43.50722209 45.17433237 42.39385411 42.47214957 45.21545787],4,"(7, 3)",[42.07214912 41.00601569 41.01959435 41.03466828 43.66895449],4,"(7, 5)",[44.95620295 46.14702537 43.62196826 43.74009108 43.65317475],1,"(6, 4)",[44.64454783 43.38949448 43.58352884 40.48886362 45.71629025],4,"(8, 4)",[40.51788733 42.49495905 -8.36465549 13.50331437 43.13418269],4
2,15,0,0,2,"(7, 4)",[44.08940149 45.54484996 42.64850722 42.64850714 45.54485   ],4,"(7, 3)",[42.64850664 41.22201201 41.22202078 41.22201565 44.08940149],4,"(7, 5)",[45.25678897 46.579925   43.80722196 43.90555356 43.80712743],1,"(6, 4)",[44.95620047 43.55325879 43.77729048 40.6473986  46.14702537],4,"(8, 4)",[41.00854413 42.87195716 -8.24029292 10.64837636 43.26523799],4
2,15,0,0,original qtable,"(7, 4)",[44.08940149 45.54484996 42.64850722 42.64850714 45.54485   ],4,"(7, 3)",[42.64850664 41.22201201 41.22202078 41.22201565 44.08940149],4,"(7, 5)",[45.54484886 47.015      44.08940135 44.08940077 44.08929707],1,"(6, 4)",[45.54484579 44.08939925 44.08940136 41.22200616 47.015     ],4,"(8, 4)",[42.64850568 44.08940146 -7.77798489  0.         44.08939869],1
2,15,0,2,1,"(1, 1)",[ 33.24182268 -17.23641127  35.0363686  -17.72524765  35.19891341],4,"(1, 0)",[-17.83638205 -65.70794835 -15.3832013  -17.83638205  18.86367033],4,"(1, 2)",[ 34.61746215 -15.23985036  36.38559316  33.92852035  36.44020425],4,"(0, 1)",[-16.7942477  -16.7942477   23.98358828 -65.7599253  -15.06124899],2,"(2, 1)",[ 35.1092009   34.1882851   36.87394031 -14.97714748  36.84519763],2
2,15,0,2,2,"(1, 1)",[ 33.75810889 -16.67076505  35.13194203 -16.67076505  35.36341765],4,"(1, 0)",[-16.7942477  -65.7599253  -15.15043285 -16.7942477   23.98358828],4,"(1, 2)",[ 35.16180514 -15.04033707  36.51691549  34.06298092  36.54565817],4,"(0, 1)",[-16.1794722  -16.1794722   29.12923445 -65.81767747 -14.84189111],2,"(2, 1)",[ 35.65731125  34.30073814  37.02758712 -14.69926194  37.02758712],4
2,15,0,2,original qtable,"(1, 1)",[ 34.30073814 -16.04226924  35.65731125 -16.04226924  35.65731125],4,"(1, 0)",[-16.04226924 -65.88184655 -14.69926192 -16.04226924  34.30073814],4,"(1, 2)",[ 35.65731125 -14.69926186  37.02758712  34.30073814  37.02758712],2,"(0, 1)",[-16.04226924 -16.04226924  34.30073814 -65.88184655 -14.69926186],2,"(2, 1)",[ 35.65731125  34.30073814  37.02758712 -14.69926194  37.02758712],4
2,15,0,4,1,"(1, 6)",[40.11163975 -9.50349058 42.22342803 39.47080427 39.28659836],2,"(1, 5)",[ 38.71080329 -10.94747127  40.80788781  38.019003    40.42470594],2,"(1, 7)",[ 38.20120985 -11.45951735  40.11656714  39.2897979   37.33730002],2,"(0, 6)",[ -9.35516111  -9.35509395  36.01591198 -10.77741637 -10.82728498],2,"(2, 6)",[42.07214971 41.08831324 43.9072221  41.05142568 41.01954179],2
2,15,0,4,2,"(1, 6)",[40.65142834 -9.35509186 42.37214988 39.64491022 39.51758432],2,"(1, 5)",[ 39.24490914 -10.77737678  40.95142178  38.15230291  40.81591208],2,"(1, 7)",[ 38.75604154 -11.29095801  40.21865756  39.63225048  37.46296991],2,"(0, 6)",[ -9.19028135  -9.19020673  41.22202209 -10.58842689 -10.58847761],2,"(2, 6)",[42.6485073  41.22202233 44.0894015  41.22201941 41.22196273],2
2,15,0,4,original qtable,"(1, 6)",[41.22202237 -9.1902044  42.64850748 39.80979791 39.80978078],2,"(1, 5)",[ 39.8097967  -10.5883829   41.22201509  38.41152504  41.22202219],4,"(1, 7)",[ 39.809785   -10.58843206  41.22187721  41.22202201  38.4116573 ],3,"(0, 6)",[ -9.19028135  -9.19020673  41.22202209 -10.58842689 -10.58847761],2,"(2, 6)",[42.6485073  41.22202233 44.0894015  41.22201941 41.22196273],2
2,15,0,5,1,"(5, 8)",[40.12113978 39.35524778 42.21052754 42.31342803 -9.50348519],3,"(5, 7)",[42.07214988 40.99381147 43.8893564  43.87327727 41.08831331],2,"(5, 9)",[ -9.35508593 -10.74795744  -7.97047073  36.0159123   -9.35508591],3,"(4, 8)",[ 38.74068843  37.80916588  40.07019697  40.65987567 -11.02052368],3,"(6, 8)",[41.00676636 40.77985876 40.69923072 43.37627928 -8.26218655],3
2,15,0,5,2,"(5, 8)",[40.65142838 39.52711604 42.41799171 42.47214988 -9.35508591],3,"(5, 7)",[42.64850748 41.22202241 44.0894015  44.0894015  41.22202241],3,"(5, 9)",[ -9.19019784 -10.58875932  -7.77797771  41.22202241  -9.19019782],3,"(4, 8)",[ 39.28871675  37.91914964  40.43261514  40.85098263 -10.8916107 ],3,"(6, 8)",[41.52492373 40.93947084 40.86606117 43.51931581 -8.1021064 ],3
2,15,0,5,original qtable,"(5, 8)",[41.22202241 39.80980218 42.64850746 42.64850748 -9.19019782],3,"(5, 7)",[42.64850748 41.22202241 44.0894015  44.0894015  41.22202241],3,"(5, 9)",[ -9.19019784 -10.58875932  -7.77797771  41.22202241  -9.19019782],3,"(4, 8)",[ 39.80980218  38.41170413  41.22202241  41.22202241 -10.58922224],2,"(6, 8)",[42.64850747 41.22202241 41.22202237 44.0894015  -7.77797777],3
2,15,0,6,0,"(6, 5)",[43.784879   50.84497612 38.48983172 41.6683     45.21586964],1,"(6, 4)",[47.687      50.         46.60443496 43.3906944  46.60443499],1,"(6, 6)",[38.20673445 40.57187346  1.33458826 35.51892409  9.76432292],1,"(5, 5)",[44.3862037  43.74325981 46.14702537  9.5        40.79060144],2,"(7, 5)",[11.44235525 45.71629025 -0.442      11.37186331  1.01333698],1
2,15,0,6,1,"(6, 5)",[45.83846    44.95667635 44.60753794 47.687      39.29060184],3,"(6, 4)",[47.687      50.         46.60443496 43.3906944  46.60443499],1,"(6, 6)",[38.20673445 40.57187346  1.33458826 35.51892409  9.76432292],1,"(5, 5)",[44.3862037  43.74325981 46.14702537  9.5        40.79060144],2,"(7, 5)",[11.44235525 45.71629025 -0.442      11.37186331  1.01333698],1
2,15,0,6,2,"(6, 5)",[46.4279     45.14620386 44.91507837 47.93       39.47040059],3,"(6, 4)",[47.93       50.         46.72714995 43.53533285 46.72714999],1,"(6, 6)",[38.71054793 40.70780325  0.74703558 35.39075865  6.77572455],1,"(5, 5)",[44.9567898  43.90722119 46.579925    5.         40.95083433],2,"(7, 5)",[ 8.06487537 46.14702537 -0.38        7.986551    0.39008971],1
2,15,0,6,original qtable,"(6, 5)",[47.015      45.54484998 45.54484995 48.5        39.80932079],3,"(6, 4)",[48.49999999 50.         47.01499994 44.08932537 47.01499999],1,"(6, 6)",[39.80950269 41.22192025  0.         35.06441781  0.        ],1,"(5, 5)",[45.54484978 44.0894005  47.015       0.         41.22136689],2,"(7, 5)",[ 0.    47.015  0.     0.     0.   ],1
2,15,0,7,1,"(2, 8)",[ 32.31136254  32.2419898   34.90405976  34.85386258 -18.37635575],2,"(2, 7)",[34.87130514 33.91478543 36.72053045 36.61691548 34.05934412],2,"(2, 9)",[-17.83638205 -17.79017638 -15.14966312  18.86367033 -18.674282  ],3,"(1, 8)",[ 32.4205278  -17.5262118   33.92923445  34.13315174 -17.52621197],3,"(3, 8)",[ 35.1092009   34.1882851   36.84519763  36.85881258 -14.86546159],3
2,15,0,7,2,"(2, 8)",[ 32.76421553  32.31491075  34.98493221  34.94537583 -17.39421848],2,"(2, 7)",[35.4092009  34.05810889 36.87394031 36.7739403  34.17368865],2,"(2, 9)",[-16.7942477  -17.66514057 -15.01504134  23.98358828 -17.72524766],3,"(1, 8)",[ 32.95773075 -17.3718466   34.30073814  34.30073813 -17.37184679],2,"(3, 8)",[ 35.65731125  34.30073814  37.02758712  37.02758712 -14.69926187],3
2,15,0,7,original qtable,"(2, 8)",[ 34.30073814  32.95773075  35.65731125  35.65731125 -16.04226924],2,"(2, 7)",[35.65731125 34.30073814 37.02758712 37.02758711 34.30073814],2,"(2, 9)",[-16.04226924 -17.37184672 -14.69926186  34.30073814 -16.04226924],3,"(1, 8)",[ 32.95773075 -17.3718466   34.30073814  34.30073813 -17.37184679],2,"(3, 8)",[ 35.65731125  34.30073814  37.02758712  37.02758712 -14.69926187],3
2,15,1,0,1,"(7, 3)",[40.51256947 40.40504171 40.31449015 40.57772803 43.20438745],4,"(7, 2)",[40.12113752 39.46258113 39.44820654 39.47869102 42.05978863],4,"(7, 4)",[42.95196838 44.89204945 42.14101082 42.32040311 44.9778795 ],4,"(6, 3)",[39.38061484 38.79482488 41.35092615 38.98010566 17.25522447],2,"(8, 3)",[ 38.67371083  41.08488966 -18.55812214  15.52121621  16.42720328],1
2,15,1,0,2,"(7, 3)",[40.99440151 40.59763095 40.52524085 40.71430427 43.34324328],4,"(7, 2)",[40.65142592 39.64478457 39.64483111 39.64488593 42.47214937],4,"(7, 4)",[43.50722209 45.17433237 42.39385411 42.47214957 45.21545787],4,"(6, 3)",[39.90382331 38.86526238 41.75972477 39.10870072 14.46674906],2,"(8, 3)",[ 39.14659717  41.49235142 -15.85071294  13.0592863   13.82295683],1
2,15,1,0,original qtable,"(7, 3)",[42.07214912 41.00601569 41.01959435 41.03466828 43.66895449],4,"(7, 2)",[40.65142592 39.64478457 39.64483111 39.64488593 42.47214937],4,"(7, 4)",[43.50722209 45.17433237 42.39385411 42.47214957 45.21545787],4,"(6, 3)",[40.44179826 39.3627028  42.17057766 39.36269522 11.47955416],2,"(8, 3)",[40.12113866 42.31342786 -9.5         7.25057287  7.7142306 ],1
