Step,Agent,Horizon,Chosen_Action,Sample_Q
0,0,1,4,[-11.27082869  31.47705983  36.997844   -50.95483812 -10.53051477]
0,0,2,4,[-10.91375737  31.25056321  37.38476784 -49.96007623 -10.24838354]
0,0,3,4,[-10.55805866  30.9578531   37.77363602 -48.89801485  -9.93507478]
0,0,4,4,[-10.20409133  30.59136617  38.16445832 -47.76162502  -9.58644674]
0,0,5,4,[ -9.85225507  30.14269771  38.55724454 -46.54312475  -9.2094732 ]
0,0,6,4,[ -9.502995    29.60250809  38.95200456 -45.23389839  -8.80006133]
0,1,1,2,[35.91923553 37.40835151 36.66513034 37.99871944 37.25878594]
0,1,2,2,[36.19124624 37.73470844 36.73083813 38.3906728  37.56852448]
0,1,3,2,[36.4518996  38.05574649 37.13042855 38.78459578 37.87109764]
0,1,4,2,[36.81083585 38.37066572 37.53629557 39.18049827 38.16550034]
0,1,5,2,[37.1676542  38.67857628 37.93775994 39.57839022 38.45061474]
0,1,6,2,[37.52190827 38.97848836 38.4445543  39.97828163 38.72519776]
0,2,1,3,[34.26052801 36.06306551 33.65664164 36.45040591 35.88841712]
0,2,2,3,[34.51249224 36.40420058 33.66653625 36.8345788  36.21014682]
0,2,3,3,[34.75169715 36.74248419 34.01811242 37.22068221 36.5268689 ]
0,2,4,3,[35.08763133 37.07739471 34.37993849 37.60872584 36.83782216]
0,2,5,3,[35.41972553 37.40835151 34.74155418 37.99871944 37.14215979]
0,2,6,3,[35.74734624 37.73470844 35.21301171 38.3906728  37.43893986]
0,3,1,2,[38.09947386 36.82433516 37.90361601 36.38325277 37.38458855]
0,3,2,2,[38.49193353 36.91822045 38.06191301 36.40122826 37.6999123 ]
0,3,3,4,[38.88636536 37.09122567 38.2076833  36.49031243 38.00968676]
0,3,4,4,[39.28277925 37.24081765 38.55920788 36.76930631 38.4226065 ]
0,3,5,4,[39.68118518 37.36418064 39.02549314 37.03687663 38.83880798]
0,3,6,4,[40.08159314 37.68040723 39.49350014 37.40265204 39.25844179]
0,4,1,2,[44.24462921 36.56903838 50.         45.88509261 41.15369403]
0,4,2,2,[44.4384769  36.62940715 50.         45.92788068 41.17773737]
0,4,3,2,[44.65386322 37.01851366 50.         45.97542298 41.34318917]
0,4,4,2,[44.78207024 37.40476242 50.         46.02824775 41.52253473]
0,4,5,2,[44.92452249 37.78697107 50.         46.08694195 41.93904118]
0,4,6,2,[45.08280277 38.27525213 50.         46.15215772 42.39628319]
1,0,1,2,[-17.89460446  29.85801433  30.2853396  -17.68183038 -19.04400371]
