Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
0,0,1,5,2,"{2: 4, 3: 1}","(0, 5)",[-30.02242763  17.96813428  17.97805807 -16.59548293 -61.86829776]
0,0,2,5,2,"{2: 4, 3: 1}","(0, 5)",[-29.73113457  18.25837866  18.2694051  -16.60059205 -61.72219548]
0,0,3,5,2,"{2: 4, 3: 1}","(0, 5)",[-29.43838345  18.54996458  18.56221618 -16.58992315 -61.57371599]
0,0,4,5,2,"{2: 4, 3: 1}","(0, 5)",[-29.14416758  18.84288578  18.85649867 -16.55963767 -61.42266479]
0,0,5,5,2,"{2: 4, 3: 1}","(0, 5)",[-28.84848031  19.13713454  19.15225997 -16.52867826 -61.26882612]
0,0,6,5,2,"{2: 4, 3: 1}","(0, 5)",[-28.55131502  19.43270147  19.44950751 -16.49696458 -61.11196058]
0,1,1,5,4,{4: 5},"(2, 1)",[ 40.60429641  35.66136951  35.59683774 -26.06622617  45.09736244]
0,1,2,5,4,{4: 5},"(2, 1)",[ 40.59428067  35.52466487  35.46710952 -25.68401382  44.94151382]
0,1,3,5,4,{4: 5},"(2, 1)",[ 40.6014306   35.39158845  35.33130301 -25.29199332  44.76834869]
0,1,4,5,4,{4: 5},"(2, 1)",[ 40.61795607  35.25194862  35.29978684 -24.889239    44.6870541 ]
0,1,5,5,4,{4: 5},"(2, 1)",[ 40.63412386  35.20548691  35.27409078 -24.47472315  44.70783789]
0,1,6,5,4,{4: 5},"(2, 1)",[ 40.64965046  35.26248163  35.24431806 -24.04730471  44.73093098]
0,2,1,5,1,{1: 5},"(4, 4)",[25.0517912  30.46923234 22.13024773 27.73219629 21.99206463]
0,2,2,5,1,{1: 5},"(4, 4)",[25.19520429 30.27481409 21.96074299 27.84009883 21.80707945]
0,2,3,5,1,{1: 5},"(4, 4)",[25.37536311 30.07765784 21.79140804 27.98080148 21.62052992]
0,2,4,5,1,{1: 5},"(4, 4)",[25.58593295 29.9791942  21.62327619 28.14753115 21.54271014]
0,2,5,5,1,{1: 5},"(4, 4)",[25.48648217 29.97998949 21.44698581 28.33270239 21.46663263]
0,2,6,5,1,{1: 5},"(4, 4)",[25.48707501 29.98015435 21.36218415 28.53843081 21.38192626]
1,2,1,5,1,"{1: 4, 3: 1}","(2, 3)",[39.52310688 44.84374492 39.26759373 41.30382072 34.71556825]
1,2,2,5,1,{1: 5},"(2, 3)",[39.42270423 44.65971658 39.13880073 41.40127516 34.51165702]
1,2,3,5,1,{1: 5},"(2, 3)",[39.43211201 44.56635175 39.00555257 41.51941305 34.52183986]
1,2,4,5,1,{1: 5},"(2, 3)",[39.44178691 44.57372417 38.85672086 41.64989917 34.53263282]
1,2,5,5,1,{1: 5},"(2, 3)",[39.45167213 44.58191574 38.69048762 41.79401909 34.54413705]
1,2,6,5,1,{1: 5},"(2, 3)",[39.46169496 44.59101749 38.50482329 41.95319158 34.55647877]
2,2,1,5,1,"{1: 4, 3: 1}","(2, 3)",[39.69470855 44.9788708  40.1038834  43.86800508 34.77741256]
2,2,2,5,1,"{1: 4, 3: 1}","(2, 3)",[39.59752465 44.80985644 40.05216338 43.57556119 34.57595419]
2,2,3,5,1,"{1: 4, 3: 1}","(2, 3)",[39.49763682 44.73317382 40.00279096 43.36173466 34.5852122 ]
2,2,4,5,1,"{1: 4, 3: 1}","(2, 3)",[39.50675509 44.64797092 39.95692636 43.12414962 34.59490827]
2,2,5,5,1,"{1: 4, 3: 1}","(2, 3)",[39.51515105 44.66441213 39.90423023 42.97127736 34.60520866]
2,2,6,5,1,"{1: 4, 3: 1}","(2, 3)",[39.52255159 44.68268014 39.84375068 42.80141929 34.61633149]
3,2,1,5,1,"{1: 4, 3: 1}","(2, 3)",[39.79779465 45.02127473 40.41287006 44.6726733  34.85375085]
3,2,2,5,1,"{1: 4, 3: 1}","(2, 3)",[39.70709146 44.85697192 40.39050858 44.469637   34.65299482]
3,2,3,5,1,"{1: 4, 3: 1}","(2, 3)",[39.61385183 44.78552436 40.37320419 44.35515222 34.66275208]
3,2,4,5,1,"{1: 4, 3: 1}","(2, 3)",[39.62974301 44.70613818 40.36235674 44.22794691 34.67275533]
3,2,5,5,1,"{1: 4, 3: 1}","(2, 3)",[39.6449822  44.72904242 40.34788634 44.19771879 34.68319398]
3,2,6,5,1,"{1: 4, 3: 1}","(2, 3)",[39.65922833 44.75449158 40.32912182 44.16413199 34.69432484]
4,2,1,5,1,"{1: 4, 3: 1}","(2, 3)",[39.73478553 44.95793393 40.46957932 44.89979704 34.84451748]
4,2,2,5,1,"{1: 4, 3: 1}","(2, 3)",[39.64451019 44.78659326 40.46094774 44.72199671 34.6433357 ]
4,2,3,5,1,"{1: 4, 3: 1}","(2, 3)",[39.55257137 44.70732584 40.4597242  44.6355519  34.65566388]
4,2,4,5,1,"{1: 4, 3: 1}","(2, 3)",[39.57082503 44.61925094 40.46766151 44.53950211 34.66796052]
4,2,5,5,1,"{1: 4, 3: 1}","(2, 3)",[39.58970826 44.63250104 40.47508213 44.54389124 34.68021405]
4,2,6,5,1,"{1: 4, 3: 1}","(2, 3)",[39.6091356  44.64722338 40.48177323 44.54876804 34.69242711]
5,2,1,5,1,"{1: 3, 3: 2}","(2, 3)",[39.69120485 44.93973343 40.45196707 44.93100739 34.82419313]
5,2,2,5,1,"{1: 3, 3: 2}","(2, 3)",[39.59822184 44.76637047 40.44351319 44.75667488 34.61917193]
5,2,3,5,1,"{1: 3, 3: 2}","(2, 3)",[39.50351168 44.68485608 40.4427243  44.6740832  34.63077231]
5,2,4,5,1,"{1: 3, 3: 2}","(2, 3)",[39.51894961 44.59428454 40.45140807 44.58231467 34.64219957]
5,2,5,5,1,"{1: 3, 3: 2}","(2, 3)",[39.53499706 44.6047606  40.45995091 44.59146074 34.65338873]
5,2,6,5,1,"{1: 3, 3: 2}","(2, 3)",[39.55159889 44.61640066 40.46821427 44.60162304 34.66427552]
6,2,1,5,1,{1: 5},"(3, 3)",[34.96027119 39.81455966 29.5839118  36.61109792 30.21683913]
6,2,2,5,1,{1: 5},"(3, 3)",[34.88568859 39.6121207  29.43490792 36.7199405  30.00688071]
6,2,3,5,1,{1: 5},"(3, 3)",[34.92393969 39.51729332 29.39143954 36.85088626 30.01636848]
6,2,4,5,1,{1: 5},"(3, 3)",[34.96484459 39.5324164  29.46662137 36.99478522 30.02510495]
6,2,5,5,1,{1: 5},"(3, 3)",[35.00865916 39.54790889 29.56407259 37.15303764 30.03290627]
6,2,6,5,1,{1: 5},"(3, 3)",[35.05567875 39.56366617 29.68546772 37.3272104  30.03955191]
7,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.86164739 39.87626332 29.81542998 35.92074405 30.22958437]
7,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76905845 39.67889245 29.60958481 35.94583252 30.02502504]
7,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78672909 39.58949763 29.49458999 35.98314471 30.04120717]
7,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80415295 39.61043616 29.4810634  36.02239253 30.05793529]
7,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.8212213  39.63214501 29.46975833 36.06370973 30.07520762]
7,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.83782256 39.65453686 29.46158491 36.10725414 30.09300449]
8,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.82765335 39.84741657 30.17646042 35.73157307 30.25434139]
8,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7343849  39.64954677 29.98332162 35.73874014 30.05006752]
8,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75132729 39.5598983  29.87906986 35.75616645 30.06566806]
8,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76793647 39.58088909 29.87373043 35.77331331 30.08118797]
8,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78405432 39.60302725 29.86736079 35.79002858 30.09651384]
8,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79950556 39.62630858 29.86005731 35.80614363 30.11150417]
9,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76335811 39.79910884 30.27208764 35.63599179 30.22791041]
9,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66846735 39.59723683 30.09038616 35.63806033 30.0235457 ]
9,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68406055 39.50329315 29.99830207 35.65027497 30.03908163]
9,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69965661 39.51968004 30.00583046 35.66211708 30.05446195]
9,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71516895 39.53689004 30.01297926 35.67345836 30.06953513]
9,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73050344 39.55490374 30.01977186 35.68415834 30.08411388]
10,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73641072 39.78186245 30.2868302  35.6039566  30.20467651]
10,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.64038103 39.57966096 30.10803339 35.6043209  30.00411027]
10,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6547288  39.48552751 30.01911949 35.61466199 30.01438733]
10,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66894261 39.50189946 30.03010659 35.62442393 30.02443403]
10,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6828979 39.5193105 30.0410298 35.6334327 30.0342663]
10,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69645323 39.53778945 30.0519452  35.6414919  30.04391835]
11,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77528271 39.82955675 30.31556009 35.63432012 30.21719216]
11,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67816699 39.63086754 30.13799373 35.63265301 30.02014141]
11,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69091709 39.54043805 30.05084083 35.64034599 30.03091617]
11,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70294458 39.56070488 30.06426559 35.64675448 30.04202848]
11,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7140397  39.58219844 30.07847725 35.65160625 30.05365979]
11,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.723967   39.60494111 30.09373834 35.65459649 30.06604165]
12,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77065261 39.82850016 30.28555621 35.63928353 30.18481205]
12,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67337935 39.6274863  30.10593625 35.63852481 29.98509774]
12,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68625292 39.53422862 30.01657462 35.64752566 29.9943041 ]
12,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69877808 39.55108051 30.02758836 35.65574779 30.00382487]
12,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71085864 39.56847691 30.03912337 35.6630472  30.01381008]
12,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72239691 39.58633077 30.05135845 35.66927309 30.02444434]
13,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72365262 39.78405506 30.30391866 35.59759033 30.17689264]
13,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62613609 39.58031727 30.12477968 35.59717798 29.97517378]
13,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63903287 39.48427905 30.03522271 35.60685719 29.98424534]
13,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65188107 39.49831484 30.04517714 35.61613031 29.99313596]
13,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66461877 39.512886   30.05456782 35.62489572 30.00185578]
13,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67718293 39.52793823 30.0633143  35.63304621 30.0104248 ]
