,,MostCommonAction,MostCommonAction,MostCommonAction,MostCommonAction,MostCommonAction,MostCommonAction,Num_States,Num_States,Num_States,Num_States,Num_States,Num_States
Horizon,,1,2,3,4,5,6,1,2,3,4,5,6
Step,Agent,,,,,,,,,,,,
0,0,2,2,2,2,2,2,5,5,5,5,5,5
0,1,4,4,4,4,4,4,5,5,5,5,5,5
0,2,1,1,1,1,1,1,5,5,5,5,5,5
1,2,1,1,1,1,1,1,5,5,5,5,5,5
2,2,1,1,1,1,1,1,5,5,5,5,5,5
3,2,1,1,1,1,1,1,5,5,5,5,5,5
4,2,1,1,1,1,1,1,5,5,5,5,5,5
5,2,1,1,1,1,1,1,5,5,5,5,5,5
6,2,1,1,1,1,1,1,5,5,5,5,5,5
7,2,1,1,1,1,1,1,5,5,5,5,5,5
8,2,1,1,1,1,1,1,5,5,5,5,5,5
9,2,1,1,1,1,1,1,5,5,5,5,5,5
10,2,1,1,1,1,1,1,5,5,5,5,5,5
11,2,1,1,1,1,1,1,5,5,5,5,5,5
12,2,1,1,1,1,1,1,5,5,5,5,5,5
13,2,1,1,1,1,1,1,5,5,5,5,5,5
14,2,1,1,1,1,1,1,5,5,5,5,5,5
15,2,1,1,1,1,1,1,5,5,5,5,5,5
16,2,1,1,1,1,1,1,5,5,5,5,5,5
17,2,1,1,1,1,1,1,5,5,5,5,5,5
18,2,1,1,1,1,1,1,5,5,5,5,5,5
19,2,1,1,1,1,1,1,5,5,5,5,5,5
20,2,1,1,1,1,1,1,5,5,5,5,5,5
21,2,1,1,1,1,1,1,5,5,5,5,5,5
22,2,1,1,1,1,1,1,5,5,5,5,5,5
23,2,1,1,1,1,1,1,5,5,5,5,5,5
24,2,1,1,1,1,1,1,5,5,5,5,5,5
25,2,1,1,1,1,1,1,5,5,5,5,5,5
26,2,1,1,1,1,1,1,5,5,5,5,5,5
27,2,1,1,1,1,1,1,5,5,5,5,5,5
28,2,1,1,1,1,1,1,5,5,5,5,5,5
29,2,1,1,1,1,1,1,5,5,5,5,5,5
30,2,1,1,1,1,1,1,5,5,5,5,5,5
31,2,1,1,1,1,1,1,5,5,5,5,5,5
32,2,1,1,1,1,1,1,5,5,5,5,5,5
33,2,1,1,1,1,1,1,5,5,5,5,5,5
34,2,1,1,1,1,1,1,5,5,5,5,5,5
35,2,1,1,1,1,1,1,5,5,5,5,5,5
36,2,1,1,1,1,1,1,5,5,5,5,5,5
37,2,1,1,1,1,1,1,5,5,5,5,5,5
38,2,1,1,1,1,1,1,5,5,5,5,5,5
39,2,1,1,1,1,1,1,5,5,5,5,5,5
