,,Chosen_Action,Chosen_Action,Chosen_Action,Chosen_Action,Chosen_Action,Chosen_Action
Horizon,,1,2,3,4,5,6
Step,Agent,,,,,,
0,0,4,4,4,4,4,4
0,1,2,2,2,2,2,2
0,2,3,3,3,3,3,3
0,3,2,2,4,4,4,4
0,4,2,2,2,2,2,2
1,0,2,2,2,2,2,2
1,1,2,2,2,2,2,2
1,2,2,2,2,2,2,3
1,3,2,2,2,2,2,2
2,0,2,2,2,2,2,2
2,1,2,2,2,2,2,2
2,2,3,3,3,3,3,3
2,3,4,4,4,4,4,4
3,1,2,2,2,2,2,2
3,2,3,3,3,3,3,3
3,3,2,2,2,2,2,4
4,1,2,2,2,2,2,2
4,2,3,3,3,3,3,3
4,3,2,2,2,2,2,2
5,1,2,2,2,2,2,2
5,2,3,3,3,3,3,3
5,3,2,2,2,2,2,2
6,1,2,2,2,2,2,2
6,2,3,3,3,3,3,3
6,3,2,2,2,2,2,2
7,1,2,2,2,2,2,2
7,2,2,2,2,2,2,2
7,3,2,2,2,2,2,2
8,1,2,2,2,2,2,2
8,2,3,3,3,3,3,3
8,3,2,2,2,2,2,2
9,1,2,2,2,2,2,2
9,2,3,3,3,3,3,3
9,3,2,2,2,2,2,2
10,1,2,2,2,2,2,2
10,2,3,3,3,3,3,3
10,3,2,2,2,2,2,2
11,1,2,2,2,2,2,2
11,2,3,3,3,3,3,3
11,3,2,2,2,2,2,2
12,1,2,2,2,2,2,2
12,2,3,3,3,3,3,3
12,3,2,2,2,2,2,2
13,1,2,2,2,2,2,2
13,2,3,3,3,3,3,3
13,3,2,2,2,2,2,2
14,1,2,2,2,2,2,2
14,2,3,3,3,3,3,3
14,3,2,2,2,2,2,2
15,1,2,2,2,2,2,2
15,2,3,3,3,3,3,3
15,3,2,2,2,2,2,2
16,1,2,2,2,2,2,2
16,2,3,3,3,3,3,3
16,3,2,2,2,2,2,2
17,1,2,2,2,2,2,2
17,2,3,3,3,3,3,3
17,3,2,2,2,2,2,2
18,1,2,2,2,2,2,2
18,2,3,3,3,3,3,3
18,3,2,2,2,2,2,2
19,1,2,2,2,2,2,2
19,2,3,3,3,3,3,3
19,3,2,2,2,2,2,2
20,1,2,2,2,2,2,2
20,2,3,3,3,3,3,3
20,3,2,2,2,2,2,2
21,1,2,2,2,2,2,2
21,2,3,3,3,3,3,3
21,3,2,2,2,2,2,2
22,1,2,2,2,2,2,2
22,2,3,3,3,3,3,3
22,3,2,2,2,2,2,2
23,1,2,2,2,2,2,2
23,2,3,3,3,3,3,3
23,3,2,2,2,2,2,2
24,1,2,2,2,2,2,2
24,2,3,3,3,3,3,3
24,3,2,2,2,2,2,2
25,1,2,2,2,2,2,2
25,2,3,3,3,3,3,3
25,3,2,2,2,2,2,2
26,1,2,2,2,2,2,2
26,2,3,3,3,3,3,3
26,3,2,2,2,2,2,2
27,1,2,2,2,2,2,2
27,2,2,2,2,2,2,2
27,3,2,2,2,2,2,2
28,1,2,2,2,2,2,2
28,2,2,2,2,2,2,2
28,3,2,2,2,2,2,2
29,1,2,2,2,2,2,2
29,2,2,2,2,2,2,2
29,3,2,2,2,2,2,2
30,1,2,2,2,2,2,2
30,2,2,2,2,2,2,2
30,3,2,2,2,2,2,2
31,1,2,2,2,2,2,2
31,2,2,2,2,2,2,2
31,3,2,2,2,2,2,2
32,1,2,2,2,2,2,2
32,2,2,2,2,2,2,2
32,3,2,2,2,2,2,2
33,1,2,2,2,2,2,2
33,2,2,2,2,2,2,2
33,3,2,2,2,2,2,2
34,1,2,2,2,2,2,2
34,2,2,2,2,2,2,2
34,3,2,2,2,2,2,2
35,1,2,2,2,2,2,2
35,2,2,2,2,2,2,2
35,3,2,2,2,2,2,2
36,1,2,2,2,2,2,2
36,2,2,2,2,2,2,2
36,3,2,2,2,2,2,2
37,1,2,2,2,2,2,2
37,2,2,2,2,2,2,2
37,3,2,2,2,2,2,2
38,1,2,2,2,2,2,2
38,2,2,2,2,2,2,2
38,3,2,2,2,2,2,2
39,1,2,2,2,2,2,2
39,2,2,2,2,2,2,2
39,3,2,2,2,2,2,2
