experiment,video_name,step,agent,horizon,state,qvalues,best_action,use_figures,handle_deadlocks,check_safety,init_mode,temporal_init_mode,deadlock_init_mode,deadlock_protocole,with_stay
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,3,"(np.int64(0), np.int64(1))","[-468.31016498984263, -6.101666049759735, -8.648275251635884, -481.86092794412724, -465.42019574555263]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,3,"(np.int64(1), np.int64(2))","[-7.725530557207971, -483.5714671735779, -6.793465209300985, -8.648275251635884, -7.746363922328527]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,3,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -7.713698766224116, -471.071658362779, -6.793465209300985]",4,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,3,"(np.int64(1), np.int64(0))","[-494.5376127469437, -505.31540851510914, -496.17193488351677, -2.2967750599430463, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,3,"(1, 1)","[-8.648275251635884, -493.9326226039791, -7.725530557207971, -491.07267694604315, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,2,"(np.int64(0), np.int64(1))","[-506.04064938926183, -1.0000000000000333, -8.648275251635884, -506.53258704761527, -502.72310429165475]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,2,"(np.int64(1), np.int64(2))","[-7.725530557207971, -502.72310429165475, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,2,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -6.793465209300985, -504.61349053831407, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,2,"(np.int64(1), np.int64(0))","[-502.2738073093434, -506.53258704761527, -504.61349053831407, -1.0000000000000333, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,2,"(1, 1)","[-8.648275251635884, -506.04064938926183, -7.725530557207971, -502.2738073093434, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,1,"(np.int64(0), np.int64(1))","[-500.9899887772478, -1.0000014601278224, -8.648275251635884, -500.9899900307062, -500.9899887540753]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,1,"(np.int64(1), np.int64(2))","[-7.725530557207971, -500.9899887540753, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,1,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -6.793465209300985, -500.9899887540753, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,1,"(np.int64(1), np.int64(0))","[-500.9899887772478, -500.9899900307062, -500.9899887540753, -1.0000014601278224, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,1,"(1, 1)","[-8.648275251635884, -500.9899887772478, -7.725530557207971, -500.9899887772478, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,4,"(np.int64(0), np.int64(1))","[-58.56179249911949, -58.56179249911949, -8.648275251635884, -107.97617457412824, -57.648275251635866]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,4,"(np.int64(1), np.int64(2))","[-7.725530557207971, -57.648275251635866, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,4,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -6.793465209300985, -57.648275251635866, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,4,"(np.int64(1), np.int64(0))","[-58.56179249911949, -107.97617457412824, -57.648275251635866, -58.56179249911949, -8.648275251635884]",4,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,0,4,"(1, 1)","[-8.648275251635884, -58.56179249911949, -7.725530557207971, -58.56179249911949, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,1,3,"(np.int64(1), np.int64(7))","[-447.77346520383486, -463.6900351096496, -445.32464525375025, -8.648275251635884, -8.775744626977191]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,1,3,"(np.int64(2), np.int64(6))","[-7.725530557207971, -8.648275251635884, -7.728854390408722, -6.793465209300985, -476.5918977381642]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,1,3,"(np.int64(1), np.int64(5))","[-7.725530557207971, -496.5451132896146, -6.793465209300985, -7.77093680975605, -8.648275251635884]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT.mp4,0,1,3,"(1, 6)","[-8.648275251635884, -479.35504452724274, -7.725530557207971, -7.725530557207971, -482.3944108477515]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
