k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,15,0,0,0,"(8, 2)",[6.14671966 7.4627406  6.94435356 6.91663801 7.46866677],4,"(8, 1)",[ 40.69113479  42.31337993  39.49651353 -50.          41.83150954],1.0,"(8, 3)",[43.53539494 45.1875357  42.31342802 42.36827078 45.187536  ],4,"(7, 2)",[43.53539222 45.18753591 42.36827061 42.2082438  45.18753529],1.0,"(9, 2)",[40.95142812 42.23526494 39.6449079  39.64491197 42.47214979],4.0
1,15,0,0,1,"(8, 2)",[40.75109985 42.95862373 40.21860074 40.08433815 43.01788525],4,"(8, 1)",[ 40.69113479  42.31337993  39.49651353 -50.          41.83150954],1.0,"(8, 3)",[43.53539494 45.1875357  42.31342802 42.36827078 45.187536  ],4,"(7, 2)",[43.53539222 45.18753591 42.36827061 42.2082438  45.18753529],1.0,"(9, 2)",[40.95142812 42.23526494 39.6449079  39.64491197 42.47214979],4.0
1,15,0,0,original qtable,"(8, 2)",[42.64850748 44.08940059 41.22202204 41.22202219 44.0894015 ],4,"(8, 1)",[ 41.22202236  42.64845087  39.8098006  -50.          42.64850748],4.0,"(8, 3)",[44.0894015  45.54484963 42.64850747 42.64850748 45.54485   ],4,"(7, 2)",[44.08939816 45.54484989 42.64850745 42.51865319 45.54484912],1.0,"(9, 2)",[41.22202213 42.64850747 39.80979538 39.80979982 42.64850739],1.0
1,15,0,1,0,"(2, 2)",[5.12444377 5.87111081 6.40319909 5.8801638  6.42075012],4,"(2, 1)",[ 35.17126132  34.02960245  36.73538516 -14.970379    36.26806579],2.0,"(2, 3)",[38.15246494 36.87393355 39.64491391 36.90675952 39.6449141 ],4,"(1, 2)",[ 34.94405668 -50.          35.94299103  33.91414324  36.611194  ],4.0,"(3, 2)",[37.9034286  36.78234993 39.49636548 36.73542212 39.49651457],4.0
1,15,0,1,1,"(2, 2)",[35.47006706 34.76103348 37.48512782 34.73979136 37.52707851],4,"(2, 1)",[ 35.17126132  34.02960245  36.73538516 -14.970379    36.26806579],2.0,"(2, 3)",[38.15246494 36.87393355 39.64491391 36.90675952 39.6449141 ],4,"(1, 2)",[ 34.94405668 -50.          35.94299103  33.91414324  36.611194  ],4.0,"(3, 2)",[37.9034286  36.78234993 39.49636548 36.73542212 39.49651457],4.0
1,15,0,1,original qtable,"(2, 2)",[37.0275864  35.6573076  38.41170229 35.65730482 38.41170416],4,"(2, 1)",[ 35.65729236  34.30056782  37.02725687 -14.69941067  37.02758704],4.0,"(2, 3)",[38.41170415 37.02757971 39.80980198 37.02758701 39.80980219],4,"(1, 2)",[ 35.65730668 -50.          37.027587    34.30064684  37.02757338],2.0,"(3, 2)",[38.41163423 37.02758649 39.80962203 37.0273025  39.80980188],4.0
1,15,0,2,0,"(4, 5)",[5.7638314  6.02524723 5.52260284 6.93961152 5.53735763],3,"(4, 4)",[39.97739447 41.92630544 39.13420163 41.92629835 39.0885631 ],1.0,"(4, 6)",[38.15200815 39.64468083 36.90605824 39.41074701 36.87301181],1,"(3, 5)",[40.20382588 41.13886405 39.27726784 42.04201368 39.24269072],3.0,"(5, 5)",[37.90339298 39.03592573 36.73339608 39.49633718 36.75295445],3.0
1,15,0,2,1,"(4, 5)",[39.04211773 40.41466003 37.6793249  40.66244032 37.69336355],3,"(4, 4)",[39.97739447 41.92630544 39.13420163 41.92629835 39.0885631 ],1.0,"(4, 6)",[38.15200815 39.64468083 36.90605824 39.41074701 36.87301181],1,"(3, 5)",[40.20382588 41.13886405 39.27726784 42.04201368 39.24269072],3.0,"(5, 5)",[37.90339298 39.03592573 36.73339608 39.49633718 36.75295445],3.0
1,15,0,2,original qtable,"(4, 5)",[39.80980183 41.22202241 38.41161949 41.22200351 38.41154665],1,"(4, 4)",[41.22195389 42.64850746 39.80920415 42.6484962  39.80978779],1.0,"(4, 6)",[38.41119725 39.80954433 37.02680847 39.80979599 37.02656597],3,"(3, 5)",[41.22202182 42.64716764 39.80980106 42.64850748 39.80971503],3.0,"(5, 5)",[38.41161296 39.80980153 37.02484121 39.80959102 37.02614668],1.0
1,15,0,3,0,"(4, 9)",[4.22906994 4.90381236 5.36454024 5.43281913 4.92817726],3,"(4, 8)",[32.72048186 31.4961762  34.15810556 34.15775858 31.51035811],2.0,"(4, 10)",[ 30.08535837  28.88750369  31.49632211  31.27001268 -20.1125052 ],2,"(3, 9)",[29.66294312 28.68016772 30.62251257 31.27083065 28.68016967],3.0,"(5, 9)",[31.51740299 30.8814703  33.55663695 33.55663472 30.94038741],2.0
