k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,1,0,0,0,"(3, 2)",[44.58766566 38.45670802 52.44518637 52.45675389 41.4       ],3,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[44.95602601 46.57761818 43.9764586  43.98078447 46.89593607],4
1,1,0,0,1,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[44.95602601 46.57761818 43.9764586  43.98078447 46.89593607],4
1,1,0,0,original qtable,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[45.54400862 47.01244437 44.08323047 44.08781608 47.01492898],4
1,1,0,1,0,"(2, 3)",[44.5876666  52.45676823 41.4        38.41545732 52.45678307],4,"(2, 2)",[45.25678079 43.98201045 43.9468495  43.98199472 46.57992497],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3.0,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2.0,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
1,1,0,1,1,"(2, 3)",[47.01499993 45.54482601 48.5        45.54484939 45.54484232],2,"(2, 2)",[45.25678079 43.98201045 43.9468495  43.98199472 46.57992497],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3.0,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2.0,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
1,1,0,1,original qtable,"(2, 3)",[47.01499993 45.54482601 48.5        45.54484939 45.54484232],2,"(2, 2)",[45.54483976 44.08916756 44.08936056 44.08914976 47.01499997],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3.0,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2.0,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
1,1,2,0,0,"(3, 2)",[44.58766566 38.45670802 52.44518637 52.45675389 41.59      ],3,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.19999472 46.8634152  46.8959631  46.86349682 52.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[44.95602601 46.57761818 43.9764586  43.98078447 46.89593607],4
1,1,2,0,1,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.19999472 46.8634152  46.8959631  46.86349682 52.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[44.95602601 46.57761818 43.9764586  43.98078447 46.89593607],4
1,1,2,0,original qtable,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4.0,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2.0,"(4, 2)",[44.95602601 46.57761818 43.9764586  43.98078447 46.89593607],4
1,1,2,1,0,"(2, 3)",[44.02456661 52.35501622 41.13       38.11900446 52.35502974],4,"(2, 2)",[45.25678079 43.98201045 43.9468495  43.98199472 46.57992497],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3.0,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2.0,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
