k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,15,0,0,0,"(3, 2)",[41.72181178 37.10421265 51.73705459 51.64520792 41.78387341],2,"(3, 1)",[44.38615464 43.88451181 43.88236128 -5.26179917 46.14702166],4,"(3, 3)",[48.11999525 46.91707368 46.78886678 46.91714714 53.8       ],4,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2,"(4, 2)",[43.4628148  45.45795549 43.71604201 43.71973438 46.60571237],4
1,15,0,0,1,"(3, 2)",[43.8280341  44.0419867  44.78834657 44.73471206 48.5254149 ],4,"(3, 1)",[44.38615464 43.88451181 43.88236128 -5.26179917 46.14702166],4,"(3, 3)",[48.11999525 46.91707368 46.78886678 46.91714714 53.8       ],4,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2,"(4, 2)",[43.4628148  45.45795549 43.71604201 43.71973438 46.60571237],4
1,15,0,0,original qtable,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2,"(4, 2)",[45.54400862 47.01244437 44.08323047 44.08781608 47.01492898],4
1,15,0,1,0,"(2, 3)",[43.57353211 52.18490838 42.01921    37.61508391 52.19700032],4,"(2, 2)",[43.99315533 43.65034847 43.13370941 43.65033917 44.86127023],4,"(2, 4)",[43.46337386 43.7191224  46.60575545 45.43492674 43.72019879],2,"(1, 3)",[44.95676352 -5.09293692 46.57992309 43.98213532 43.98153878],2,"(3, 3)",[48.21899919 47.13643475 55.42       45.46534281 46.69250575],2
1,15,0,1,1,"(2, 3)",[45.87594994 45.2886841  48.6159     44.83695916 45.29939284],2,"(2, 2)",[43.99315533 43.65034847 43.13370941 43.65033917 44.86127023],4,"(2, 4)",[43.46337386 43.7191224  46.60575545 45.43492674 43.72019879],2,"(1, 3)",[44.95676352 -5.09293692 46.57992309 43.98213532 43.98153878],2,"(3, 3)",[48.21899919 47.13643475 55.42       45.46534281 46.69250575],2
1,15,0,1,original qtable,"(2, 3)",[47.01499993 45.54482601 48.5        45.54484939 45.54484232],2,"(2, 2)",[45.54483976 44.08916756 44.08936056 44.08914976 47.01499997],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
1,15,2,0,0,"(4, 3)",[42.75321144 41.3796108  52.10021041 51.94656528 39.9477627 ],2,"(4, 2)",[43.4628148  45.45795549 43.71604201 43.71973438 46.60571237],4,"(4, 4)",[46.88630157 47.7723859  18.76568996 18.77073279 16.32767419],1,"(3, 3)",[48.00235397 46.40536998 46.37203794 46.41672473 51.02094138],4,"(5, 3)",[45.53429524 -0.99999899 44.03089208 44.07266018 47.01249975],4
1,15,2,0,1,"(4, 3)",[44.99048304 48.3695793  45.14891438 45.02113623 47.12154005],1,"(4, 2)",[43.4628148  45.45795549 43.71604201 43.71973438 46.60571237],4,"(4, 4)",[46.88630157 47.7723859  18.76568996 18.77073279 16.32767419],1,"(3, 3)",[48.00235397 46.40536998 46.37203794 46.41672473 51.02094138],4,"(5, 3)",[45.53429524 -0.99999899 44.03089208 44.07266018 47.01249975],4
1,15,2,0,original qtable,"(4, 3)",[47.01468428 48.49999988 45.53523952 45.54304523 48.49994921],1,"(4, 2)",[43.4628148  45.45795549 43.71604201 43.71973438 46.60571237],4,"(4, 4)",[48.49940647 49.99999807  0.          0.          0.        ],1,"(3, 3)",[48.11999525 46.91707368 46.78886678 46.91714714 53.8       ],4,"(5, 3)",[45.53429524 -0.99999899 44.03089208 44.07266018 47.01249975],4
1,15,2,1,0,"(3, 4)",[42.84601821 51.52183519 41.18451187 43.99780347 51.867364  ],4,"(3, 3)",[49.26535741 46.81087439 59.37118    44.80200627 48.48912299],2,"(3, 5)",[43.4626063  43.72070522 46.60425509 45.43447718 43.71998733],2,"(2, 4)",[42.62653395 43.5858145  45.74186304 45.52996061 43.58670315],2,"(4, 4)",[48.19993266 46.86348136 46.89552806 51.99999061 46.89344477],3
