k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,0,0,0,"(3, 2)",[44.3579     38.99994674 51.3039215  51.33620387 42.13      ],3,"(3, 1)",[44.95679    43.99885637 43.98455104 -5.10867274 46.579925  ],4,"(3, 3)",[47.687      46.604435   46.31537499 46.604435   50.        ],4,"(2, 2)",[44.64455088 43.52469527 45.71629025 43.50202427 45.71629025],2,"(4, 2)",[44.39445808 46.15527958 43.90669425 43.8962842  46.55348026],4
2,15,0,0,1,"(3, 2)",[46.421      45.17433241 45.42371208 45.45679    48.2       ],4,"(3, 1)",[44.95679    43.99885637 43.98455104 -5.10867274 46.579925  ],4,"(3, 3)",[47.687      46.604435   46.31537499 46.604435   50.        ],4,"(2, 2)",[44.64455088 43.52469527 45.71629025 43.50202427 45.71629025],2,"(4, 2)",[44.39445808 46.15527958 43.90669425 43.8962842  46.55348026],4
2,15,0,0,2,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 3)",[47.93       46.72715    46.40224999 46.72715    50.        ],4,"(2, 2)",[44.95620386 43.55326057 46.14702537 43.5373658  46.14702537],2,"(4, 2)",[44.95679    46.579925   43.99885637 43.99132722 46.6668114 ],4
2,15,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1
2,15,0,1,0,"(2, 3)",[43.78487896 51.20067906 41.6683     38.6010759  51.23217716],4,"(2, 2)",[44.95620361 43.71017492 46.13454261 43.70120471 46.14702537],4,"(2, 4)",[44.95677369 43.99883953 46.91148836 46.57992486 44.00720123],2,"(1, 3)",[44.95678332 -5.11551146 46.57992496 43.98451817 43.99875757],2,"(3, 3)",[47.92999985 46.72714994 50.         46.72349506 46.64689759],2
2,15,0,1,1,"(2, 3)",[45.83845996 45.30620688 47.687      44.6856761  45.30620641],2,"(2, 2)",[44.95620361 43.71017492 46.13454261 43.70120471 46.14702537],4,"(2, 4)",[44.95677369 43.99883953 46.91148836 46.57992486 44.00720123],2,"(1, 3)",[44.95678332 -5.11551146 46.57992496 43.98451817 43.99875757],2,"(3, 3)",[47.92999985 46.72714994 50.         46.72349506 46.64689759],2
2,15,0,1,2,"(2, 3)",[46.42789995 45.37753543 47.93       44.95620359 45.37753491],2,"(2, 2)",[45.25678971 43.78454005 46.56605526 43.77978871 46.57992499],4,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.72099776],2
2,15,0,1,original qtable,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2
2,15,1,0,1,"(3, 1)",[44.38620387 43.91736579 43.89018564 -6.76916663 46.431421  ],4,"(3, 0)",[ -8.60036693 -50.         -50.          -8.60036693  24.62626987],4,"(3, 2)",[44.3503496  44.10685081 45.01175227 44.74943142 47.47147   ],4,"(2, 1)",[ 43.24489491  42.4765788   45.02950605 -50.           8.1945493 ],2,"(4, 1)",[ 42.04353393  44.87967636  42.37595204 -50.          15.28642107],1
2,15,1,0,2,"(3, 1)",[44.95679    43.99885637 43.98455104 -5.10867274 46.579925  ],4,"(3, 0)",[ -7.14333974 -50.         -50.          -7.14333973  29.7751456 ],4,"(3, 2)",[44.823179   44.16898223 45.0990796  44.93326991 47.4683    ],4,"(2, 1)",[ 43.80722207  42.57214899  45.45679    -50.           4.266425  ],2,"(4, 1)",[ 42.48827136  45.3062074   42.44157744 -50.          12.07093383],1
