k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,1,0,0,0,"(3, 2)",[44.921      39.41545787 51.45679    51.45679    42.4       ],3,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4.0,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,0,0,1,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4.0,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4.0,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4.0,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,0,1,0,"(2, 3)",[44.92099994 51.45678937 42.4        39.45678968 51.45678881],1,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2.0
1,1,0,1,1,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2.0
1,1,0,1,original qtable,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2.0
1,1,1,0,1,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4,"(3, 0)",[ -4.91059851 -50.         -50.          -4.91059851  45.54485   ],4.0,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4.0,"(2, 1)",[ 44.08940146  42.6485065   45.54485    -50.           0.        ],2.0,"(4, 1)",[ 44.08940149  45.54485     42.64850622 -50.           0.        ],1.0
1,1,1,0,original qtable,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 0)",[ -4.91059851 -50.         -50.          -4.91059851  45.54485   ],4.0,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4.0,"(2, 1)",[ 44.08940146  42.6485065   45.54485    -50.           0.        ],2.0,"(4, 1)",[ 44.08940149  45.54485     42.64850622 -50.           0.        ],1.0
1,1,1,1,1,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(1, 2)",[44.08939333 -6.35170707 45.5448495  42.64833625 45.54483808],2.0,"(1, 4)",[44.08938457 -6.35162086 45.54484791 45.54484702 42.64835671],2.0,"(0, 3)",[-4.91064225 -4.91065823 45.54483793 -6.35177304 -6.35180576],2.0,"(2, 3)",[46.42099994 45.39786437 48.4        45.45678968 45.45678881],2.0
1,1,1,1,original qtable,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(1, 2)",[44.08939333 -6.35170707 45.5448495  42.64833625 45.54483808],2.0,"(1, 4)",[44.08938457 -6.35162086 45.54484791 45.54484702 42.64835671],2.0,"(0, 3)",[-4.91064225 -4.91065823 45.54483793 -6.35177304 -6.35180576],2.0,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2.0
1,1,2,0,0,"(3, 2)",[44.921      39.41545787 51.45679    51.44786    42.4       ],2,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,2,0,1,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,2,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,2,1,0,"(2, 3)",[44.37689995 51.32450293 42.31       39.37753571 51.36860386],4,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2.0
1,1,2,1,1,"(2, 3)",[46.42099994 45.39786437 48.4        45.45678968 45.45678881],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2.0
1,1,2,1,original qtable,"(2, 3)",[46.42099994 45.39786437 48.4        45.45678968 45.45678881],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2.0,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2.0
1,1,3,0,1,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1,"(4, 1)",[ 43.50722209  45.44786     42.57214873 -50.           4.1175467 ],1.0,"(4, 3)",[47.01499999 48.5         0.          0.          0.        ],1.0,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4.0,"(5, 2)",[ 0.         45.54485    42.64850699  0.          0.        ],1.0
1,1,3,0,original qtable,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1,"(4, 1)",[ 44.08940149  45.54485     42.64850622 -50.           0.        ],1.0,"(4, 3)",[47.01499999 48.5         0.          0.          0.        ],1.0,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4.0,"(5, 2)",[ 0.         45.54485    42.64850699  0.          0.        ],1.0
1,1,3,1,1,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2,"(2, 3)",[45.87689995 45.32450293 48.31       45.37753571 45.30055993],2.0,"(2, 5)",[44.08936574 42.64829034 42.64794992 45.54484637 39.79679229],3.0,"(1, 4)",[44.08938457 -6.35162086 45.54484791 45.54484702 42.64835671],2.0,"(3, 4)",[47.01499443 45.54484443 48.49999542 48.49999993  0.        ],3.0
1,1,3,1,original qtable,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2,"(2, 3)",[46.42099994 45.39786437 48.4        45.45678968 45.45678881],2.0,"(2, 5)",[44.08936574 42.64829034 42.64794992 45.54484637 39.79679229],3.0,"(1, 4)",[44.08938457 -6.35162086 45.54484791 45.54484702 42.64835671],2.0,"(3, 4)",[47.01499443 45.54484443 48.49999542 48.49999993  0.        ],3.0
1,1,4,0,0,"(3, 2)",[44.3579     51.29900496 51.377536   51.360569   42.13      ],2,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,4,0,1,"(3, 2)",[46.421      45.41545787 45.45679    45.44786    48.2       ],4,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,1,4,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.09277791 46.921     ],4.0,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4.0,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2.0,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
