k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,1,0,0,0,"(3, 2)",[44.3579     39.15620387 51.36860233 51.33620387 42.13      ],2,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.10114361 46.579925  ],4,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2,"(4, 2)",[44.95679    46.579925   44.00722207 44.00722205 46.9209614 ],4
2,1,0,0,1,"(3, 2)",[46.421   45.25679 45.45679 45.45679 48.2    ],4,"(3, 1)",[44.95679    44.00722207 44.00722209 -5.10114361 46.579925  ],4,"(3, 3)",[48.2        46.8635     46.92099999 46.8635     50.        ],4,"(2, 2)",[45.25678998 44.00722203 46.579925   44.00722209 46.579925  ],2,"(4, 2)",[44.95679    46.579925   44.00722207 44.00722205 46.9209614 ],4
2,1,0,0,2,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1
2,1,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1
2,1,0,1,0,"(2, 3)",[44.35789995 51.3362033  42.13       39.15620359 51.36860386],4,"(2, 2)",[45.25678971 44.00721188 46.56605526 43.97978871 46.57992499],4,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2,"(1, 3)",[44.95678332 -5.09284073 46.57992496 44.00719    44.00712325],2,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2
2,1,0,1,1,"(2, 3)",[46.42099994 45.45678937 48.2        45.25678968 45.45678881],2,"(2, 2)",[45.25678971 44.00721188 46.56605526 43.97978871 46.57992499],4,"(2, 4)",[44.95677369 44.00720521 46.92098874 46.57992486 44.00720123],2,"(1, 3)",[44.95678332 -5.09284073 46.57992496 44.00719    44.00712325],2,"(3, 3)",[48.19999983 46.86349993 50.         46.85943895 46.92099776],2
2,1,0,1,2,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2
2,1,0,1,original qtable,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2
2,1,1,0,1,"(4, 2)",[44.41860233 46.5009325  43.93326061 43.93326059 46.80786526],4,"(4, 1)",[ 43.50722209  45.41545787  42.57214873 -50.           4.12676075],1,"(4, 3)",[45.85789999 48.13        0.          8.3201     -0.18      ],1,"(3, 2)",[45.8579     45.15620387 45.290111   45.33620387 48.13      ],4,"(5, 2)",[ 3.82676075 45.11712575 42.57214944  4.18849314  0.        ],1
2,1,1,0,2,"(4, 2)",[44.95679    46.579925   44.00722207 44.00722205 46.9209614 ],4,"(4, 1)",[ 44.08940149  45.54485     42.64850622 -50.           0.        ],1,"(4, 3)",[46.42099999 48.2         0.          4.379      -0.2       ],1,"(3, 2)",[46.421   45.25679 45.45679 45.45679 48.2    ],4,"(5, 2)",[ 0.         45.54485    42.64850699  0.          0.        ],1
