k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,1,0,0,1,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[45.54484998 44.08940138 44.08940146 -4.91059865 47.015     ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[44.95678998 44.00722184 46.279925    4.32676075 46.27992458],2,"(4, 2)",[45.29675855 41.87066623 43.47750024 44.08940147 46.93051352],4
1,1,0,0,original qtable,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[45.54484998 44.08940138 44.08940146 -4.91059865 47.015     ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[45.54484998 44.08940121 47.015       0.         47.01499958],2,"(4, 2)",[45.29675855 41.87066623 43.47750024 44.08940147 46.93051352],4
1,1,0,1,1,"(2, 3)",[46.42099794 45.45678573 47.9        44.9567822  45.45675638],2,"(2, 2)",[45.54478671 44.08855676 44.08930246 44.08902659 47.01499999],4,"(2, 4)",[45.54480818 44.08885408 47.01497031 47.01499568 44.08879619],3,"(1, 3)",[45.54483626 -4.91151127 47.01499994 44.08913154 44.0890987 ],2,"(3, 3)",[48.49999982 47.01499959 50.         44.08932396 47.01499764],2
1,1,0,1,original qtable,"(2, 3)",[47.01499771 45.54484526 48.5        45.54484134 45.5448131 ],2,"(2, 2)",[45.54478671 44.08855676 44.08930246 44.08902659 47.01499999],4,"(2, 4)",[45.54480818 44.08885408 47.01497031 47.01499568 44.08879619],3,"(1, 3)",[45.54483626 -4.91151127 47.01499994 44.08913154 44.0890987 ],2,"(3, 3)",[48.49999982 47.01499959 50.         44.08932396 47.01499764],2
1,1,1,0,1,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[44.95678999 44.00722199 44.00722207 -5.09277804 46.579925  ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[44.95678998 44.00722184 46.279925    4.32676075 46.27992458],2,"(4, 2)",[45.29675855 41.87066623 43.47750024 44.08940147 46.93051352],4
1,1,1,0,original qtable,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[45.54484998 44.08940138 44.08940146 -4.91059865 47.015     ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[44.95678998 44.00722184 46.279925    4.32676075 46.27992458],2,"(4, 2)",[45.29675855 41.87066623 43.47750024 44.08940147 46.93051352],4
1,1,1,1,1,"(2, 3)",[46.42099794 45.45678573 47.9        44.9567822  45.45675638],2,"(2, 2)",[44.95673304 44.00645631 43.64679721 44.00687977 46.27992499],4,"(2, 4)",[45.54480818 44.08885408 47.01497031 47.01499568 44.08879619],3,"(1, 3)",[45.54483626 -4.91151127 47.01499994 44.08913154 44.0890987 ],2,"(3, 3)",[48.49999982 47.01499959 50.         44.08932396 47.01499764],2
1,1,1,1,original qtable,"(2, 3)",[46.42099794 45.45678573 47.9        44.9567822  45.45675638],2,"(2, 2)",[45.54478671 44.08855676 44.08930246 44.08902659 47.01499999],4,"(2, 4)",[45.54480818 44.08885408 47.01497031 47.01499568 44.08879619],3,"(1, 3)",[45.54483626 -4.91151127 47.01499994 44.08913154 44.0890987 ],2,"(3, 3)",[48.49999982 47.01499959 50.         44.08932396 47.01499764],2
1,1,2,0,1,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[44.95678999 44.00722199 44.00722207 -5.09277804 46.579925  ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[44.95678998 44.00722184 46.279925    4.32676075 46.27992458],2,"(4, 2)",[44.72548148 41.94199839 43.43013314 44.00722207 46.84496217],4
1,1,2,0,original qtable,"(3, 2)",[47.015      45.54485    45.39976928 45.54485    48.5       ],4,"(3, 1)",[44.95678999 44.00722199 44.00722207 -5.09277804 46.579925  ],4,"(3, 3)",[48.5        47.01499997 47.01499997 47.015      50.        ],4,"(2, 2)",[44.95678998 44.00722184 46.279925    4.32676075 46.27992458],2,"(4, 2)",[45.29675855 41.87066623 43.47750024 44.08940147 46.93051352],4
