k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
3,500,0,0,1,"(3, 2)",[-2.87281496 -2.67476968 -1.88950909 -1.89062864 -3.17456722],2,"(3, 1)",[-1.14621825 -0.96566316 -0.96566316 -1.30366017 -1.5889109 ],1,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[-1.43339433 -1.72751058 -0.95760884 -0.95760884 -0.95289871],4
3,500,0,0,2,"(3, 2)",[-3.86420174 -4.24827209 -2.83912355 -2.83902078 -4.15258582],3,"(3, 1)",[-2.81277869 -2.79333489 -1.94817765 -2.93070619 -2.76375023],2,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[-3.4377132  -3.17734122 -1.93980209 -1.94020997 -2.79269943],2
3,500,0,0,3,"(3, 2)",[-38.37841048 -38.37459401 -38.36655969 -38.37392922 -38.37600801],2,"(3, 1)",[45.54394983 44.0894015  44.0894015  -4.92045049 46.05150235],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[45.54485    46.50437421 43.9072221  43.9072221  47.015     ],4
3,500,0,0,original qtable,"(3, 2)",[44.53542137 44.48576107 44.77472549 44.85245035 44.82528872],3,"(3, 1)",[45.54394983 44.0894015  44.0894015  -4.92045049 46.05150235],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[45.54485    46.50437421 43.9072221  43.9072221  47.015     ],4
3,500,0,1,1,"(2, 3)",[-2.70753218 -1.88823232 -3.07701348 -2.44848741 -1.8883285 ],1,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[-1.73012083 -0.96184796 -0.95760884 -1.03843251 -0.95760884],2,"(1, 3)",[-1.42326951 -1.29513226 -1.50354083 -0.96909685 -0.96184796],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
3,500,0,1,2,"(2, 3)",[-3.93759822 -2.84119096 -3.98671441 -3.8327484  -2.84119068],4,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[-3.43694686 -1.94264453 -3.14153045 -3.33690929 -1.94120171],4,"(1, 3)",[-2.51298816 -2.77464114 -2.54437215 -2.4754453  -1.94858674],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
3,500,0,1,3,"(2, 3)",[-38.36917414 -38.36997581 -38.37065761 -38.37283046 -38.37137419],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[45.54484997 44.08939924 46.62967688 46.39060998 44.08940131],2,"(1, 3)",[45.54484994 -4.91059892 46.21613609 44.08936102 44.08940083],2,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
3,500,0,1,original qtable,"(2, 3)",[44.39425807 44.84556355 44.84478759 44.56658492 44.72338129],1,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[45.54484997 44.08939924 46.62967688 46.39060998 44.08940131],2,"(1, 3)",[45.54484994 -4.91059892 46.21613609 44.08936102 44.08940083],2,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
3,500,1,0,1,"(4, 2)",[-2.52288196 -1.59057497 -1.59647935 -1.5960126  -1.59563065],1,"(4, 1)",[-0.96715211 -0.79410887 -0.77123208 -0.98815455 -1.18852368],2,"(4, 3)",[-1.04779034 -0.77123208 -0.77123208 -0.80062699 -0.74581342],4,"(3, 2)",[-1.03379996 -0.74581342 -1.15947462 -0.71757046 -0.74581342],3,"(5, 2)",[-0.77101389 -0.78036841 -0.77123208 -0.77123208 -0.74581342],4
3,500,1,0,2,"(4, 2)",[-0.91839695 -0.79101317 -0.86577927 -0.90904391  0.22672291],4,"(4, 1)",[-0.87425986 -0.80519494 -0.76980112 -0.65723191 -0.04634618],4,"(4, 3)",[-0.25795888 -0.18174066 -0.13440065 -0.30108411  5.08037465],4,"(3, 2)",[-0.83422144 -1.01066029 -0.68072473 -0.74531258 -0.76446072],2,"(5, 2)",[-0.76290557 -0.61633539 -0.66205292 -0.6918931   0.24583853],4
