k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,20,0,0,1,"(3, 2)",[13.84161547 10.90746669  7.70482549 18.94586878 40.23240828],4,"(3, 1)",[18.94586878  0.          0.          0.          0.        ],0,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[13.94573414  4.02489546  0.          0.          0.        ],0
2,20,0,0,2,"(3, 2)",[43.41995217 43.133417   43.1869249  43.18601556 43.23977484],0,"(3, 1)",[43.61508319 43.45010972 43.52771281  7.45948028 43.41989032],0,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[43.45081447 43.73864539 43.44502084 43.70742268 43.73864539],1
2,20,0,0,original qtable,"(3, 2)",[47.015      45.54485    45.54485    45.54402642 48.5       ],4,"(3, 1)",[45.54394983 44.0894015  44.0894015  -4.92045049 47.01493465],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[45.54485   47.015     44.0894015 44.0894015 47.015    ],1
2,20,0,1,1,"(2, 3)",[40.47851744 13.79109872 16.58571071 13.92841667 10.9969127 ],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[13.95512279  4.15420354  0.          0.          4.19412911],0,"(1, 3)",[13.79109872  0.          4.0501357   0.          0.        ],0,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,0,1,2,"(2, 3)",[43.41995217 42.80520201 43.56643129 43.68563895 43.40608355],3,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[43.58638711 43.67162068 43.71943366 43.76738279 43.72733312],3,"(1, 3)",[42.98131077  3.84447671 43.10285241 43.20821911 43.2653272 ],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,0,1,original qtable,"(2, 3)",[47.015   45.54485 48.5     45.54485 45.54485],2,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[45.54484997 44.08939924 46.99480073 47.015      44.08940131],3,"(1, 3)",[45.54484994 -4.91059892 47.015      44.08936102 44.08940083],2,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,1,0,1,"(3, 2)",[ 8.89706016  7.47160994  3.46065676  4.068732   21.71618811],4,"(3, 1)",[1.50137712 0.         0.         0.         4.12796129],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[ 0.          0.         11.3897562   4.08849314  0.        ],2
2,20,1,0,2,"(3, 2)",[22.89941547 21.22439815  9.18593662 17.92798665 23.92222324],4,"(3, 1)",[16.85660128  1.68135825  4.18381888  0.          0.        ],0,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[11.64523579  4.68958842  0.          4.14712371  0.        ],0
2,20,1,0,original qtable,"(3, 2)",[13.84161547 10.90746669  7.70482549 18.94586878 40.23240828],4,"(3, 1)",[18.94586878  0.          0.          0.          0.        ],0,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[13.94573414  4.02489546  0.          0.          0.        ],0
2,20,1,1,1,"(2, 3)",[21.87966645  3.67475416 11.42352653  7.53024234  3.87984462],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[4.43929602 4.110873   0.         0.         0.        ],0,"(1, 3)",[3.67475416 0.         0.         4.22676075 0.        ],3,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,1,1,2,"(2, 3)",[24.10168911 12.88343263 21.86365555 16.48219713 10.59528857],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[11.02564071  4.15420354  0.          1.94225615  7.9688453 ],0,"(1, 3)",[12.30055911  0.          5.4547735   2.2082606   4.15420354],0,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,1,1,original qtable,"(2, 3)",[40.47851744 13.79109872 16.58571071 13.92841667 10.9969127 ],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[13.95512279  4.15420354  0.          0.          4.19412911],0,"(1, 3)",[13.79109872  0.          4.0501357   0.          0.        ],0,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,2,0,1,"(3, 2)",[9.68293877 2.62572163 8.04527262 0.79276731 3.96774636],0,"(3, 1)",[0.16919263 0.         0.         0.         3.96774636],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[0.         0.         7.91410915 4.08849314 0.        ],2
2,20,2,0,2,"(3, 2)",[11.25158915  8.29152951 10.57561984  3.46617969 11.19200562],0,"(3, 1)",[1.50137712 0.46660834 0.         0.         2.83360667],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[ 0.98202684  0.         25.67812743  7.76813697  3.12784592],2
2,20,2,0,original qtable,"(3, 2)",[ 8.89706016  7.47160994  3.46065676  4.068732   21.71618811],4,"(3, 1)",[1.50137712 0.         0.         0.         4.12796129],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[ 0.          0.         11.3897562   4.08849314  0.        ],2
2,20,2,1,1,"(2, 3)",[10.17354806  2.16651255  4.77197112  6.23872711  3.29574589],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[3.92451555 0.         0.         0.         0.        ],0,"(1, 3)",[ 1.19696826  0.          0.          0.         10.75796213],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,2,1,2,"(2, 3)",[11.48520895  2.93820562 11.7730051  10.03446208  4.5768689 ],2,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[ 4.07453648 11.14046583  0.          0.32173312  0.        ],1,"(1, 3)",[2.86721738 0.36752379 0.26719146 3.06547193 7.68403469],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,2,1,original qtable,"(2, 3)",[21.87966645  3.67475416 11.42352653  7.53024234  3.87984462],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[4.43929602 4.110873   0.         0.         0.        ],0,"(1, 3)",[3.67475416 0.         0.         4.22676075 0.        ],3,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,3,0,1,"(3, 2)",[15.83353942  3.42474105 27.14472263  0.62365672  3.42474105],2,"(3, 1)",[1.69010972 0.         0.         0.         0.        ],0,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[ 0.          0.         11.08112155 32.66067554  0.        ],3
2,20,3,0,2,"(3, 2)",[ 7.67132955  3.87248166 20.0262662   1.29921613  4.62109202],2,"(3, 1)",[0.16919263 0.         7.61743917 0.         3.49197463],2,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[ 1.51833766  1.2384967  33.58067446  7.64727734  0.        ],2
2,20,3,0,original qtable,"(3, 2)",[9.68293877 2.62572163 8.04527262 0.79276731 3.96774636],0,"(3, 1)",[0.16919263 0.         0.         0.         3.96774636],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     44.0894015 47.015    ],2,"(4, 2)",[0.         0.         7.91410915 4.08849314 0.        ],2
2,20,3,1,1,"(2, 3)",[19.8724874   8.49815136  8.14984505  3.78127655  1.36407014],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[1.48912796 0.         0.         0.         7.9688453 ],4,"(1, 3)",[ 0.          0.          0.          0.         10.37023432],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,3,1,2,"(2, 3)",[ 7.18896503 22.00153213  6.54125051  7.04532776  3.29574589],1,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[3.80489297 0.         0.26146483 0.         0.        ],0,"(1, 3)",[ 6.32795677  0.         10.46503665  2.46281453 34.06157064],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,3,1,original qtable,"(2, 3)",[10.17354806  2.16651255  4.77197112  6.23872711  3.29574589],0,"(2, 2)",[45.54484997 44.08940105 46.61869878 44.08940097 47.015     ],4,"(2, 4)",[3.92451555 0.         0.         0.         0.        ],0,"(1, 3)",[ 1.19696826  0.          0.          0.         10.75796213],4,"(3, 3)",[48.5        47.015      50.         46.76188016 46.99740096],2
2,20,7,0,1,"(5, 2)",[38.37231563  6.0118094  10.83228636 18.38491909 13.56237484],0,"(5, 1)",[20.47014204  0.          7.5080556   0.          0.        ],0,"(5, 3)",[3.94369725 8.56425    4.05805068 0.         0.        ],1,"(4, 2)",[3.16411021 0.         3.84413952 0.         0.        ],2,"(6, 2)",[10.83228636  0.         -0.1         0.          0.        ],0
2,20,7,0,2,"(5, 2)",[41.26285365 37.78164952 41.51725812 41.12544346 41.44056157],2,"(5, 1)",[42.15978913 41.9651298  41.22202241 -2.91168669 42.35489322],4,"(5, 3)",[42.35457848 42.20490665 42.5652342  42.2364845  -0.271     ],2,"(4, 2)",[ 0.          0.         11.08112155 34.35905487  0.        ],3,"(6, 2)",[42.64850748 43.12793303  0.          0.          4.09900464],1
2,20,7,0,original qtable,"(5, 2)",[44.0894015  40.42598519 42.17057837 42.31342803 44.09447096],4,"(5, 1)",[42.64850748 44.0894015  41.22202241 -7.77797759 44.0894015 ],4,"(5, 3)",[45.54485   47.015     44.0894015 44.0894015  0.       ],1,"(4, 2)",[ 0.          0.         11.08112155 32.66067554  0.        ],3,"(6, 2)",[42.64850748 44.0894015   0.          0.          0.        ],1
