k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,1,0,0,0,"(3, 2)",[4.10825    3.4186675  5.75233537 5.7936675  3.85      ],3,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.15679    46.579925   -0.195       4.22676075  4.5075    ],1.0
1,1,0,0,1,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.15679    46.579925   -0.195       4.22676075  4.5075    ],1.0
1,1,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1.0
1,1,0,1,0,"(2, 3)",[4.10824988 5.75233383 3.85       3.41866215 5.79366475],4,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3.0,"(1, 3)",[45.15672216 -5.09310103 46.57992377 43.90665755 43.90681646],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,1,0,1,1,"(2, 3)",[47.01499768 45.54482145 48.5        45.54474406 45.54480577],2,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3.0,"(1, 3)",[45.15672216 -5.09310103 46.57992377 43.90665755 43.90681646],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,1,0,1,original qtable,"(2, 3)",[47.01499768 45.54482145 48.5        45.54474406 45.54480577],2,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3.0,"(1, 3)",[45.54477476 -4.91095394 47.01499876 44.08877963 44.08895234],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,1,1,0,0,"(3, 1)",[  3.8936675    5.54059702   5.58123082 -43.41876918   1.95114841],2,"(3, 0)",[ -4.9105985  -50.          -6.35149252  -4.9105985   45.54485   ],4,"(3, 2)",[4.10825    3.4186675  5.75233537 5.7936675  3.85      ],3.0,"(2, 1)",[43.7072221  42.47214988 45.11712575 -5.          4.366425  ],2,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1.0
1,1,1,0,1,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 0)",[ -4.9105985  -50.          -6.35149252  -4.9105985   45.54485   ],4,"(3, 2)",[4.10825    3.4186675  5.75233537 5.7936675  3.85      ],3.0,"(2, 1)",[43.7072221  42.47214988 45.11712575 -5.          4.366425  ],2,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1.0
1,1,1,0,original qtable,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 0)",[ -4.9105985  -50.          -6.35149252  -4.9105985   45.54485   ],4,"(3, 2)",[4.10825    3.4186675  5.75233537 5.7936675  3.85      ],3.0,"(2, 1)",[44.0894015  42.64850748 45.54485     0.          0.        ],2,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1.0
1,1,1,1,0,"(2, 4)",[3.8936649  5.55933858 6.00824687 1.95114787 5.5811739 ],2,"(2, 3)",[4.10824988 5.75233383 3.85       3.41866215 5.79366475],4,"(2, 5)",[44.08837798 42.64394597 45.54412964 45.54468499 42.64239426],3.0,"(1, 4)",[43.70679342 -6.5288976  45.11704461 45.3154446  42.46924176],3,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3.0
