k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,0,0,0,"(3, 2)",[2.14241281 1.4803845  3.92594463 3.96473869 3.163375  ],3,"(3, 1)",[ 32.71306708  32.70515953  32.71362821 -16.11577022  33.9140562 ],4,"(3, 3)",[34.98125    34.275875   34.93927812 34.275875   50.        ],4,"(2, 2)",[32.75481312 32.74135845 33.45313437 32.03115558 11.12100937],2,"(4, 2)",[32.40822071 33.58911092  1.83358168 15.67234929 16.44954687],1
2,15,0,0,1,"(3, 2)",[33.79000625 32.54673462 33.69958176 33.85806708 34.7675    ],4,"(3, 1)",[ 32.71306708  32.70515953  32.71362821 -16.11577022  33.9140562 ],4,"(3, 3)",[34.98125    34.275875   34.93927812 34.275875   50.        ],4,"(2, 2)",[32.75481312 32.74135845 33.45313437 32.03115558 11.12100937],2,"(4, 2)",[32.40822071 33.58911092  1.83358168 15.67234929 16.44954687],1
2,15,0,0,2,"(3, 2)",[46.571      45.10679    45.27433241 45.35679    48.05      ],4,"(3, 1)",[45.15679   43.6393564 43.8893564 -5.0927779 46.579925 ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[44.76620387 46.14702537  0.22088382  8.01297972  8.08925   ],1
2,15,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1
2,15,0,1,0,"(2, 3)",[2.01087959 3.9941213  2.63586373 1.35869247 4.08287704],4,"(2, 2)",[32.01133235 32.58026303 32.57697541 32.57953546 32.57698601],1,"(2, 4)",[33.01729201 32.79156703 35.17490816 34.24063011 32.918498  ],2,"(1, 3)",[ 33.01727704 -16.08124636  34.24063344  32.97045549  32.79229163],2,"(3, 3)",[33.78697466 33.18898513 45.171625   33.10978552 34.7742136 ],2
2,15,0,1,1,"(2, 3)",[32.94966897 33.82522251 33.391187   31.77134963 33.82521531],1,"(2, 2)",[32.01133235 32.58026303 32.57697541 32.57953546 32.57698601],1,"(2, 4)",[33.01729201 32.79156703 35.17490816 34.24063011 32.918498  ],2,"(1, 3)",[ 33.01727704 -16.08124636  34.24063344  32.97045549  32.79229163],2,"(3, 3)",[33.78697466 33.18898513 45.171625   33.10978552 34.7742136 ],2
2,15,0,1,2,"(2, 3)",[45.62786619 45.03518627 46.62651258 44.15169827 45.0351737 ],2,"(2, 2)",[44.65692507 43.26732182 45.84775255 43.26596434 45.84777487],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3,"(1, 3)",[45.54477476 -4.91095394 47.01499876 44.08877963 44.08895234],2,"(3, 3)",[47.45974976 46.20082443 39.835      46.03408841 46.17137111],0
2,15,0,1,original qtable,"(2, 3)",[47.01499768 45.54482145 48.5        45.54474406 45.54480577],2,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3,"(1, 3)",[45.54477476 -4.91095394 47.01499876 44.08877963 44.08895234],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2
2,15,1,0,0,"(3, 1)",[  1.00113274   3.6025295    3.52896519 -48.23845822   1.1453856 ],1,"(3, 0)",[-17.55666172 -50.         -17.46511936 -17.55666172   4.01304252],4,"(3, 2)",[ 0.53542719  9.44329318 10.17591032  1.92603198 14.75885312],4,"(2, 1)",[ 31.66364574  31.74627505  32.99594049 -28.625       10.69541241],2,"(4, 1)",[ 30.96766393  32.37675217   1.56291604 -17.66943405  14.68754437],1
2,15,1,0,1,"(3, 1)",[ 23.14187885  28.35830316  28.06347463 -22.39394524  13.86589101],1,"(3, 0)",[-17.55666172 -50.         -17.46511936 -17.55666172   4.01304252],4,"(3, 2)",[ 0.53542719  9.44329318 10.17591032  1.92603198 14.75885312],4,"(2, 1)",[ 31.66364574  31.74627505  32.99594049 -28.625       10.69541241],2,"(4, 1)",[ 30.96766393  32.37675217   1.56291604 -17.66943405  14.68754437],1
2,15,1,0,2,"(3, 1)",[ 32.02337231  34.48807982  34.34604553 -15.27653268  27.99602086],1,"(3, 0)",[ -5.0927779  -50.          -6.55046543  -5.0927779   40.31712575],4,"(3, 2)",[2.14241281 1.4803845  3.92594463 3.96473869 3.163375  ],3,"(2, 1)",[43.6572221  42.47214988 45.35679    -5.          4.116425  ],2,"(4, 1)",[42.67065459 44.53189298 -0.179371   -6.98060163 13.42412157],1
2,15,1,0,original qtable,"(3, 1)",[ 32.71306708  32.70515953  32.71362821 -16.11577022  33.9140562 ],4,"(3, 0)",[ -4.9105985  -50.          -6.35149252  -4.9105985   45.54485   ],4,"(3, 2)",[2.14241281 1.4803845  3.92594463 3.96473869 3.163375  ],3,"(2, 1)",[43.6572221  42.47214988 45.35679    -5.          4.116425  ],2,"(4, 1)",[42.99974481 44.95667636 -0.52845    -6.82942163 11.64286331],1
